Finetuning score threshold: -574.06
Learning rate before schedule: 1e-05
Learning rate after schedule: 9.12870929175277e-06
Finetuning with 5252 chats
Extracting prompt in train dataset: 100%|██████████| 5252/5252 [00:00<00:00, 5391.63 examples/s]
Applying chat template to train dataset: 100%|██████████| 5252/5252 [00:01<00:00, 3294.40 examples/s]
Tokenizing train dataset: 100%|██████████| 5252/5252 [00:20<00:00, 261.07 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128009, 'pad_token_id': 128009}.
                                                  
{'loss': 0.6931, 'grad_norm': 12.902599334716797, 'learning_rate': 9.12870929175277e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -332.078857421875, 'logps/rejected': -316.37432861328125, 'logits/chosen': 2.197965383529663, 'logits/rejected': 2.2209181785583496, 'epoch': 0.01}
{'loss': 0.7554, 'grad_norm': 23.460432052612305, 'learning_rate': 9.12850245963856e-06, 'rewards/chosen': 0.02575187385082245, 'rewards/rejected': 0.05181598663330078, 'rewards/accuracies': 0.59375, 'rewards/margins': -0.026064109057188034, 'logps/chosen': -319.4925537109375, 'logps/rejected': -345.8631591796875, 'logits/chosen': 2.2367453575134277, 'logits/rejected': 2.22841739654541, 'epoch': 0.01}
{'loss': 0.7028, 'grad_norm': 22.904541015625, 'learning_rate': 9.127881982040989e-06, 'rewards/chosen': 0.05002155154943466, 'rewards/rejected': 0.005650517996400595, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.044371023774147034, 'logps/chosen': -320.0616455078125, 'logps/rejected': -331.6217041015625, 'logits/chosen': 2.3253731727600098, 'logits/rejected': 2.1454148292541504, 'epoch': 0.02}
{'loss': 0.6461, 'grad_norm': 16.56836700439453, 'learning_rate': 9.126847915193493e-06, 'rewards/chosen': 0.10974273085594177, 'rewards/rejected': -0.047289472073316574, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.15703219175338745, 'logps/chosen': -309.6197509765625, 'logps/rejected': -318.9946594238281, 'logits/chosen': 2.246213436126709, 'logits/rejected': 2.2297983169555664, 'epoch': 0.02}
{'loss': 0.686, 'grad_norm': 13.74824333190918, 'learning_rate': 9.125400352812823e-06, 'rewards/chosen': 0.1320272535085678, 'rewards/rejected': 0.06525059044361115, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.06677664816379547, 'logps/chosen': -336.5953674316406, 'logps/rejected': -344.546875, 'logits/chosen': 2.2296133041381836, 'logits/rejected': 2.2336771488189697, 'epoch': 0.03}
{'loss': 0.7099, 'grad_norm': 16.250728607177734, 'learning_rate': 9.12353942609053e-06, 'rewards/chosen': 0.14333286881446838, 'rewards/rejected': 0.13943099975585938, 'rewards/accuracies': 0.46875, 'rewards/margins': 0.0039018671959638596, 'logps/chosen': -326.22869873046875, 'logps/rejected': -344.0346374511719, 'logits/chosen': 2.1900832653045654, 'logits/rejected': 2.235421657562256, 'epoch': 0.04}
{'loss': 0.6773, 'grad_norm': 9.695612907409668, 'learning_rate': 9.121265303681084e-06, 'rewards/chosen': 0.2423429638147354, 'rewards/rejected': 0.18858815729618073, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.053754813969135284, 'logps/chosen': -327.80377197265625, 'logps/rejected': -347.9083251953125, 'logits/chosen': 2.159637689590454, 'logits/rejected': 2.22326397895813, 'epoch': 0.04}
{'loss': 0.6944, 'grad_norm': 10.665428161621094, 'learning_rate': 9.118578191686593e-06, 'rewards/chosen': 0.19923362135887146, 'rewards/rejected': 0.18365079164505005, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.015582844614982605, 'logps/chosen': -318.4486389160156, 'logps/rejected': -342.0697326660156, 'logits/chosen': 2.246748447418213, 'logits/rejected': 2.1697592735290527, 'epoch': 0.05}
{'loss': 0.6827, 'grad_norm': 9.17212200164795, 'learning_rate': 9.115478333638108e-06, 'rewards/chosen': 0.22786159813404083, 'rewards/rejected': 0.21316491067409515, 'rewards/accuracies': 0.4375, 'rewards/margins': 0.014696694910526276, 'logps/chosen': -312.4535217285156, 'logps/rejected': -326.51318359375, 'logits/chosen': 2.304625988006592, 'logits/rejected': 2.208096981048584, 'epoch': 0.05}
{'loss': 0.7256, 'grad_norm': 19.322677612304688, 'learning_rate': 9.11196601047357e-06, 'rewards/chosen': 0.2524978816509247, 'rewards/rejected': 0.2680862545967102, 'rewards/accuracies': 0.5, 'rewards/margins': -0.015588382259011269, 'logps/chosen': -325.930419921875, 'logps/rejected': -342.49639892578125, 'logits/chosen': 2.3035964965820312, 'logits/rejected': 2.3081796169281006, 'epoch': 0.06}
{'loss': 0.6866, 'grad_norm': 14.032676696777344, 'learning_rate': 9.10804154051234e-06, 'rewards/chosen': 0.34263667464256287, 'rewards/rejected': 0.24929769337177277, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.0933389663696289, 'logps/chosen': -312.5914306640625, 'logps/rejected': -329.156005859375, 'logits/chosen': 2.330249786376953, 'logits/rejected': 2.243696928024292, 'epoch': 0.07}
