Finetuning score threshold: -574.06
Learning rate before schedule: 1e-05
Learning rate after schedule: 7.071067811865476e-06
Finetuning with 9152 chats
Extracting prompt in train dataset: 100%|██████████| 9152/9152 [00:01<00:00, 5346.07 examples/s]
Applying chat template to train dataset: 100%|██████████| 9152/9152 [00:02<00:00, 3366.19 examples/s]
Tokenizing train dataset: 100%|██████████| 9152/9152 [00:39<00:00, 230.80 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128009, 'pad_token_id': 128009}.
                                                  
{'loss': 0.6931, 'grad_norm': 13.251287460327148, 'learning_rate': 7.071067811865476e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -332.490234375, 'logps/rejected': -349.6893005371094, 'logits/chosen': 2.293306350708008, 'logits/rejected': 2.199220895767212, 'epoch': 0.0}
{'loss': 0.7599, 'grad_norm': 27.914627075195312, 'learning_rate': 7.071014486774271e-06, 'rewards/chosen': -0.03957519680261612, 'rewards/rejected': -0.0008113821968436241, 'rewards/accuracies': 0.46875, 'rewards/margins': -0.03876380994915962, 'logps/chosen': -335.244384765625, 'logps/rejected': -358.7950744628906, 'logits/chosen': 2.204287528991699, 'logits/rejected': 2.2085368633270264, 'epoch': 0.01}
{'loss': 0.7034, 'grad_norm': 21.770898818969727, 'learning_rate': 7.070854513109219e-06, 'rewards/chosen': 0.018630027770996094, 'rewards/rejected': -0.0061273532919585705, 'rewards/accuracies': 0.4375, 'rewards/margins': 0.02475738525390625, 'logps/chosen': -344.9424743652344, 'logps/rejected': -342.5234375, 'logits/chosen': 2.288100242614746, 'logits/rejected': 2.3203344345092773, 'epoch': 0.01}
{'loss': 0.6855, 'grad_norm': 17.13001251220703, 'learning_rate': 7.070587895695962e-06, 'rewards/chosen': 0.08420638740062714, 'rewards/rejected': 0.03342056646943092, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.05078583210706711, 'logps/chosen': -299.2925720214844, 'logps/rejected': -350.0285949707031, 'logits/chosen': 2.319020986557007, 'logits/rejected': 2.22800350189209, 'epoch': 0.01}
{'loss': 0.7028, 'grad_norm': 14.82844066619873, 'learning_rate': 7.0702146425770734e-06, 'rewards/chosen': 0.07231464982032776, 'rewards/rejected': 0.08085651695728302, 'rewards/accuracies': 0.53125, 'rewards/margins': -0.008541874587535858, 'logps/chosen': -309.40911865234375, 'logps/rejected': -340.4884033203125, 'logits/chosen': 2.2858805656433105, 'logits/rejected': 2.22023344039917, 'epoch': 0.02}
{'loss': 0.6413, 'grad_norm': 16.293500900268555, 'learning_rate': 7.069734765011821e-06, 'rewards/chosen': 0.09472713619470596, 'rewards/rejected': -0.03412608802318573, 'rewards/accuracies': 0.625, 'rewards/margins': 0.1288532018661499, 'logps/chosen': -296.4489440917969, 'logps/rejected': -350.5590515136719, 'logits/chosen': 2.310645341873169, 'logits/rejected': 2.286494731903076, 'epoch': 0.02}
{'loss': 0.7222, 'grad_norm': 20.676223754882812, 'learning_rate': 7.069148277475817e-06, 'rewards/chosen': 0.034615516662597656, 'rewards/rejected': -0.001156425103545189, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.035771939903497696, 'logps/chosen': -320.0666809082031, 'logps/rejected': -370.548828125, 'logits/chosen': 2.2678158283233643, 'logits/rejected': 2.244184732437134, 'epoch': 0.02}
{'loss': 0.7033, 'grad_norm': 16.935405731201172, 'learning_rate': 7.068455197660594e-06, 'rewards/chosen': 0.09450836479663849, 'rewards/rejected': 0.08898276090621948, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.005525592714548111, 'logps/chosen': -333.85552978515625, 'logps/rejected': -386.5623779296875, 'logits/chosen': 2.1707053184509277, 'logits/rejected': 2.252490758895874, 'epoch': 0.03}
{'loss': 0.6686, 'grad_norm': 13.124856948852539, 'learning_rate': 7.067655546473061e-06, 'rewards/chosen': 0.13620644807815552, 'rewards/rejected': 0.09362450242042542, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.0425819456577301, 'logps/chosen': -303.65826416015625, 'logps/rejected': -378.3007507324219, 'logits/chosen': 2.1919424533843994, 'logits/rejected': 2.268022060394287, 'epoch': 0.03}
{'loss': 0.7557, 'grad_norm': 16.317981719970703, 'learning_rate': 7.066749348034877e-06, 'rewards/chosen': 0.1058134064078331, 'rewards/rejected': 0.16898193955421448, 'rewards/accuracies': 0.375, 'rewards/margins': -0.06316852569580078, 'logps/chosen': -342.2803955078125, 'logps/rejected': -351.0304260253906, 'logits/chosen': 2.294459104537964, 'logits/rejected': 2.261957883834839, 'epoch': 0.03}
{'loss': 0.6924, 'grad_norm': 11.101746559143066, 'learning_rate': 7.065736629681724e-06, 'rewards/chosen': 0.16972026228904724, 'rewards/rejected': 0.13658924400806427, 'rewards/accuracies': 0.46875, 'rewards/margins': 0.03313102945685387, 'logps/chosen': -313.57635498046875, 'logps/rejected': -335.9493408203125, 'logits/chosen': 2.2142014503479004, 'logits/rejected': 2.225898504257202, 'epoch': 0.04}
