Finetuning score threshold: -574.06
Learning rate before schedule: 1e-05
Learning rate after schedule: 6.4549722436790284e-06
Finetuning with 11104 chats
Extracting prompt in train dataset: 100%|██████████| 11104/11104 [00:02<00:00, 5364.66 examples/s]
Applying chat template to train dataset: 100%|██████████| 11104/11104 [00:03<00:00, 3319.96 examples/s]
Tokenizing train dataset: 100%|██████████| 11104/11104 [00:48<00:00, 227.59 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128009, 'pad_token_id': 128009}.
                                                  
{'loss': 0.6931, 'grad_norm': 13.082189559936523, 'learning_rate': 6.4549722436790284e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -316.540771484375, 'logps/rejected': -325.4195861816406, 'logits/chosen': 2.2208974361419678, 'logits/rejected': 2.185713768005371, 'epoch': 0.0}
{'loss': 0.7165, 'grad_norm': 19.602523803710938, 'learning_rate': 6.454939175182449e-06, 'rewards/chosen': -0.008109662681818008, 'rewards/rejected': 0.015365606173872948, 'rewards/accuracies': 0.5625, 'rewards/margins': -0.023475266993045807, 'logps/chosen': -307.5882568359375, 'logps/rejected': -338.22052001953125, 'logits/chosen': 2.3015451431274414, 'logits/rejected': 2.2683873176574707, 'epoch': 0.01}
{'loss': 0.6844, 'grad_norm': 21.532262802124023, 'learning_rate': 6.4548399703703435e-06, 'rewards/chosen': -0.059285733848810196, 'rewards/rejected': -0.10536022484302521, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.046074483543634415, 'logps/chosen': -287.0294189453125, 'logps/rejected': -365.872314453125, 'logits/chosen': 2.24985408782959, 'logits/rejected': 2.2623276710510254, 'epoch': 0.01}
{'loss': 0.7369, 'grad_norm': 20.298954010009766, 'learning_rate': 6.454674631275598e-06, 'rewards/chosen': -0.020420264452695847, 'rewards/rejected': 0.04526672512292862, 'rewards/accuracies': 0.46875, 'rewards/margins': -0.06568698585033417, 'logps/chosen': -302.12542724609375, 'logps/rejected': -333.9577941894531, 'logits/chosen': 2.3566017150878906, 'logits/rejected': 2.304551601409912, 'epoch': 0.01}
{'loss': 0.7592, 'grad_norm': 26.169721603393555, 'learning_rate': 6.454443161286306e-06, 'rewards/chosen': 0.035999491810798645, 'rewards/rejected': 0.10629864037036896, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.07029914855957031, 'logps/chosen': -313.2777099609375, 'logps/rejected': -321.693603515625, 'logits/chosen': 2.2381021976470947, 'logits/rejected': 2.1353759765625, 'epoch': 0.01}
{'loss': 0.7428, 'grad_norm': 20.41753387451172, 'learning_rate': 6.4541455651457055e-06, 'rewards/chosen': -0.013883206993341446, 'rewards/rejected': -0.0017128011677414179, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.012170406989753246, 'logps/chosen': -331.4816589355469, 'logps/rejected': -333.4567565917969, 'logits/chosen': 2.306335210800171, 'logits/rejected': 2.332038402557373, 'epoch': 0.02}
{'loss': 0.7608, 'grad_norm': 18.3078556060791, 'learning_rate': 6.453781848952075e-06, 'rewards/chosen': 0.02049999311566353, 'rewards/rejected': 0.14087504148483276, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.12037506699562073, 'logps/chosen': -305.0701599121094, 'logps/rejected': -336.49285888671875, 'logits/chosen': 2.2742557525634766, 'logits/rejected': 2.226752281188965, 'epoch': 0.02}
{'loss': 0.742, 'grad_norm': 16.794185638427734, 'learning_rate': 6.453352020158614e-06, 'rewards/chosen': 0.07174301147460938, 'rewards/rejected': 0.13262349367141724, 'rewards/accuracies': 0.46875, 'rewards/margins': -0.06088046729564667, 'logps/chosen': -310.59808349609375, 'logps/rejected': -364.84576416015625, 'logits/chosen': 2.260422468185425, 'logits/rejected': 2.1303117275238037, 'epoch': 0.02}
{'loss': 0.6229, 'grad_norm': 14.033723831176758, 'learning_rate': 6.4528560875732864e-06, 'rewards/chosen': 0.17951488494873047, 'rewards/rejected': -0.0001138690859079361, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.17962874472141266, 'logps/chosen': -315.4298095703125, 'logps/rejected': -385.71392822265625, 'logits/chosen': 2.23833966255188, 'logits/rejected': 2.2066311836242676, 'epoch': 0.03}
{'loss': 0.7164, 'grad_norm': 10.965581893920898, 'learning_rate': 6.452294061358645e-06, 'rewards/chosen': 0.1995580643415451, 'rewards/rejected': 0.2872190475463867, 'rewards/accuracies': 0.4375, 'rewards/margins': -0.08766098320484161, 'logps/chosen': -299.05059814453125, 'logps/rejected': -394.7559509277344, 'logits/chosen': 2.209743022918701, 'logits/rejected': 2.3066673278808594, 'epoch': 0.03}
{'loss': 0.708, 'grad_norm': 21.226673126220703, 'learning_rate': 6.451665953031614e-06, 'rewards/chosen': 0.13554878532886505, 'rewards/rejected': 0.08673648536205292, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.04881229251623154, 'logps/chosen': -326.5970153808594, 'logps/rejected': -350.67266845703125, 'logits/chosen': 2.162461519241333, 'logits/rejected': 2.1583709716796875, 'epoch': 0.03}
