Finetuning score threshold: -574.06
Learning rate before schedule: 1e-05
Learning rate after schedule: 1.5811388300841898e-05
Finetuning with 733 chats
Extracting prompt in train dataset: 100%|██████████| 733/733 [00:00<00:00, 4989.30 examples/s]
Applying chat template to train dataset: 100%|██████████| 733/733 [00:00<00:00, 2909.85 examples/s]
Tokenizing train dataset: 100%|██████████| 733/733 [00:02<00:00, 331.74 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 1}.
                                               
{'loss': 0.6931, 'grad_norm': 29.340167999267578, 'learning_rate': 1.5811388300841898e-05, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -323.10064697265625, 'logps/rejected': -303.9197692871094, 'logits/chosen': -7.456223964691162, 'logits/rejected': -7.573562145233154, 'epoch': 0.04}
{'loss': 0.7676, 'grad_norm': 59.79050827026367, 'learning_rate': 1.5792958303068264e-05, 'rewards/chosen': -0.020482739433646202, 'rewards/rejected': 0.03882288932800293, 'rewards/accuracies': 0.375, 'rewards/margins': -0.059305619448423386, 'logps/chosen': -281.42474365234375, 'logps/rejected': -309.2184753417969, 'logits/chosen': -7.543318271636963, 'logits/rejected': -7.564465045928955, 'epoch': 0.09}
{'loss': 0.721, 'grad_norm': 31.077056884765625, 'learning_rate': 1.573775423890461e-05, 'rewards/chosen': 0.379484087228775, 'rewards/rejected': 0.3905704617500305, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.0110863596200943, 'logps/chosen': -309.5981750488281, 'logps/rejected': -319.3382873535156, 'logits/chosen': -7.498534679412842, 'logits/rejected': -7.551211357116699, 'epoch': 0.13}
{'loss': 0.7307, 'grad_norm': 14.47822380065918, 'learning_rate': 1.564603349518132e-05, 'rewards/chosen': 0.7013082504272461, 'rewards/rejected': 0.9719655513763428, 'rewards/accuracies': 0.28125, 'rewards/margins': -0.2706572711467743, 'logps/chosen': -284.14599609375, 'logps/rejected': -307.764404296875, 'logits/chosen': -7.5160675048828125, 'logits/rejected': -7.6360087394714355, 'epoch': 0.17}
{'loss': 0.7009, 'grad_norm': 4.097716331481934, 'learning_rate': 1.5518223716345653e-05, 'rewards/chosen': 1.625030755996704, 'rewards/rejected': 1.4813997745513916, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.1436309516429901, 'logps/chosen': -299.6775817871094, 'logps/rejected': -292.2283630371094, 'logits/chosen': -7.645776748657227, 'logits/rejected': -7.6324872970581055, 'epoch': 0.22}
{'loss': 0.6878, 'grad_norm': 1.6124087572097778, 'learning_rate': 1.535492081058596e-05, 'rewards/chosen': 2.320443630218506, 'rewards/rejected': 2.090169668197632, 'rewards/accuracies': 0.625, 'rewards/margins': 0.23027393221855164, 'logps/chosen': -276.54736328125, 'logps/rejected': -311.2181701660156, 'logits/chosen': -7.6601409912109375, 'logits/rejected': -7.694567680358887, 'epoch': 0.26}
{'loss': 0.6938, 'grad_norm': 0.40754228830337524, 'learning_rate': 1.5156886171432595e-05, 'rewards/chosen': 2.7482478618621826, 'rewards/rejected': 2.6426329612731934, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.10561466217041016, 'logps/chosen': -309.38970947265625, 'logps/rejected': -350.20556640625, 'logits/chosen': -7.677581787109375, 'logits/rejected': -7.653894901275635, 'epoch': 0.31}
{'loss': 0.6751, 'grad_norm': 5.912210941314697, 'learning_rate': 1.4925043127789832e-05, 'rewards/chosen': 2.830374240875244, 'rewards/rejected': 2.6390318870544434, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.19134247303009033, 'logps/chosen': -262.6116027832031, 'logps/rejected': -311.70953369140625, 'logits/chosen': -7.653341293334961, 'logits/rejected': -7.735741138458252, 'epoch': 0.35}
{'loss': 0.6887, 'grad_norm': 2.0768446922302246, 'learning_rate': 1.4660472638950274e-05, 'rewards/chosen': 3.1326894760131836, 'rewards/rejected': 2.662748336791992, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.4699409008026123, 'logps/chosen': -284.21124267578125, 'logps/rejected': -287.98724365234375, 'logits/chosen': -7.644052505493164, 'logits/rejected': -7.756227016448975, 'epoch': 0.39}
{'loss': 0.6917, 'grad_norm': 0.5607225894927979, 'learning_rate': 1.4364408254663628e-05, 'rewards/chosen': 3.314300060272217, 'rewards/rejected': 2.9809398651123047, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.3333601951599121, 'logps/chosen': -298.54638671875, 'logps/rejected': -313.4866027832031, 'logits/chosen': -7.634814739227295, 'logits/rejected': -7.7159423828125, 'epoch': 0.44}
{'loss': 0.694, 'grad_norm': 0.6987661719322205, 'learning_rate': 1.4038230363758366e-05, 'rewards/chosen': 3.540555477142334, 'rewards/rejected': 3.266824245452881, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.27373141050338745, 'logps/chosen': -277.955322265625, 'logps/rejected': -300.18121337890625, 'logits/chosen': -7.693007946014404, 'logits/rejected': -7.7428436279296875, 'epoch': 0.48}
{'loss': 0.6915, 'grad_norm': 0.8665766716003418, 'learning_rate': 1.3683459758131769e-05, 'rewards/chosen': 3.4446728229522705, 'rewards/rejected': 3.0967135429382324, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.3479592204093933, 'logps/chosen': -274.72406005859375, 'logps/rejected': -314.1103210449219, 'logits/chosen': -7.622950077056885, 'logits/rejected': -7.74377965927124, 'epoch': 0.52}
{'loss': 0.7037, 'grad_norm': 3.2270917892456055, 'learning_rate': 1.3301750542116096e-05, 'rewards/chosen': 3.506279706954956, 'rewards/rejected': 3.0286288261413574, 'rewards/accuracies': 0.625, 'rewards/margins': 0.4776509404182434, 'logps/chosen': -276.4831237792969, 'logps/rejected': -313.0524597167969, 'logits/chosen': -7.767348289489746, 'logits/rejected': -7.731864929199219, 'epoch': 0.57}
{'loss': 0.6702, 'grad_norm': 0.892023503780365, 'learning_rate': 1.2894882420280606e-05, 'rewards/chosen': 3.8201608657836914, 'rewards/rejected': 3.1654345989227295, 'rewards/accuracies': 0.625, 'rewards/margins': 0.6547264456748962, 'logps/chosen': -292.9100341796875, 'logps/rejected': -306.4344482421875, 'logits/chosen': -7.702767372131348, 'logits/rejected': -7.743711471557617, 'epoch': 0.61}
{'loss': 0.6907, 'grad_norm': 5.995947360992432, 'learning_rate': 1.2464752399627324e-05, 'rewards/chosen': 3.5050745010375977, 'rewards/rejected': 3.011652708053589, 'rewards/accuracies': 0.625, 'rewards/margins': 0.4934215545654297, 'logps/chosen': -277.23089599609375, 'logps/rejected': -333.14697265625, 'logits/chosen': -7.692224502563477, 'logits/rejected': -7.679316520690918, 'epoch': 0.65}
{'loss': 0.6934, 'grad_norm': 2.794539451599121, 'learning_rate': 1.2013365944868687e-05, 'rewards/chosen': 3.2587099075317383, 'rewards/rejected': 2.6494970321655273, 'rewards/accuracies': 0.625, 'rewards/margins': 0.6092126369476318, 'logps/chosen': -284.2074279785156, 'logps/rejected': -317.4034423828125, 'logits/chosen': -7.638706684112549, 'logits/rejected': -7.73907470703125, 'epoch': 0.7}
{'loss': 0.6843, 'grad_norm': 4.397393226623535, 'learning_rate': 1.154282762802531e-05, 'rewards/chosen': 3.0444555282592773, 'rewards/rejected': 2.422239303588867, 'rewards/accuracies': 0.625, 'rewards/margins': 0.6222161054611206, 'logps/chosen': -272.45660400390625, 'logps/rejected': -311.89947509765625, 'logits/chosen': -7.670336723327637, 'logits/rejected': -7.7430806159973145, 'epoch': 0.74}
{'loss': 85.1373, 'grad_norm': 36421.484375, 'learning_rate': 1.1055331315939712e-05, 'rewards/chosen': 2.2238876819610596, 'rewards/rejected': 1.7077090740203857, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.5161786079406738, 'logps/chosen': -244.90463256835938, 'logps/rejected': -300.984130859375, 'logits/chosen': -7.724213600158691, 'logits/rejected': -7.6655073165893555, 'epoch': 0.79}
