Finetuning score threshold: -549.2
Learning rate before schedule: 1e-05
Learning rate after schedule: 1.118033988749895e-05
Finetuning with 971 chats
Extracting prompt in train dataset: 100%|██████████| 971/971 [00:00<00:00, 4991.79 examples/s]
Applying chat template to train dataset: 100%|██████████| 971/971 [00:00<00:00, 2987.96 examples/s]
Tokenizing train dataset: 100%|██████████| 971/971 [00:03<00:00, 322.61 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 1}.
                                               
{'loss': 0.6931, 'grad_norm': 27.997081756591797, 'learning_rate': 1.118033988749895e-05, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -288.0320129394531, 'logps/rejected': -291.17474365234375, 'logits/chosen': -7.427183151245117, 'logits/rejected': -7.528543949127197, 'epoch': 0.03}
{'loss': 0.7986, 'grad_norm': 106.95631408691406, 'learning_rate': 1.117316494446355e-05, 'rewards/chosen': -0.11285571753978729, 'rewards/rejected': -0.03137493133544922, 'rewards/accuracies': 0.34375, 'rewards/margins': -0.08148077875375748, 'logps/chosen': -301.1573486328125, 'logps/rejected': -286.08331298828125, 'logits/chosen': -7.450661659240723, 'logits/rejected': -7.63026237487793, 'epoch': 0.07}
{'loss': 0.6998, 'grad_norm': 26.718746185302734, 'learning_rate': 1.1151658533333223e-05, 'rewards/chosen': 0.22060468792915344, 'rewards/rejected': 0.23591938614845276, 'rewards/accuracies': 0.46875, 'rewards/margins': -0.015314694494009018, 'logps/chosen': -288.30340576171875, 'logps/rejected': -292.0242919921875, 'logits/chosen': -7.605180263519287, 'logits/rejected': -7.618727684020996, 'epoch': 0.1}
{'loss': 0.7073, 'grad_norm': 22.459877014160156, 'learning_rate': 1.1115875860756892e-05, 'rewards/chosen': 0.5107706189155579, 'rewards/rejected': 0.46936172246932983, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.04140894114971161, 'logps/chosen': -277.51177978515625, 'logps/rejected': -302.3123779296875, 'logits/chosen': -7.458487510681152, 'logits/rejected': -7.598338603973389, 'epoch': 0.13}
{'loss': 0.6832, 'grad_norm': 8.256606101989746, 'learning_rate': 1.106590878034186e-05, 'rewards/chosen': 0.9091808795928955, 'rewards/rejected': 0.7768774032592773, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.13230344653129578, 'logps/chosen': -297.36468505859375, 'logps/rejected': -279.86590576171875, 'logits/chosen': -7.559337139129639, 'logits/rejected': -7.657246112823486, 'epoch': 0.16}
{'loss': 0.6885, 'grad_norm': 6.551437854766846, 'learning_rate': 1.1001885556866918e-05, 'rewards/chosen': 1.0029518604278564, 'rewards/rejected': 0.9134946465492249, 'rewards/accuracies': 0.46875, 'rewards/margins': 0.089457206428051, 'logps/chosen': -300.6705627441406, 'logps/rejected': -329.3453674316406, 'logits/chosen': -7.419663429260254, 'logits/rejected': -7.561214923858643, 'epoch': 0.2}
{'loss': 0.6775, 'grad_norm': 8.751663208007812, 'learning_rate': 1.0923970537028503e-05, 'rewards/chosen': 0.9412993788719177, 'rewards/rejected': 0.8376330137252808, 'rewards/accuracies': 0.5, 'rewards/margins': 0.10366645455360413, 'logps/chosen': -256.55084228515625, 'logps/rejected': -284.0697021484375, 'logits/chosen': -7.576269626617432, 'logits/rejected': -7.584907054901123, 'epoch': 0.23}
{'loss': 0.6717, 'grad_norm': 9.601093292236328, 'learning_rate': 1.0832363727565071e-05, 'rewards/chosen': 1.2764713764190674, 'rewards/rejected': 1.0867021083831787, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.18976914882659912, 'logps/chosen': -296.78955078125, 'logps/rejected': -323.50299072265625, 'logits/chosen': -7.591416358947754, 'logits/rejected': -7.568881988525391, 'epoch': 0.26}
{'loss': 0.6577, 'grad_norm': 13.834745407104492, 'learning_rate': 1.0727300281842681e-05, 'rewards/chosen': 1.1229312419891357, 'rewards/rejected': 0.8217957615852356, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.30113542079925537, 'logps/chosen': -272.1842041015625, 'logps/rejected': -306.8897399902344, 'logits/chosen': -7.549496173858643, 'logits/rejected': -7.534430980682373, 'epoch': 0.3}
{'loss': 0.7212, 'grad_norm': 136.1709747314453, 'learning_rate': 1.0609049896219671e-05, 'rewards/chosen': 0.8350068926811218, 'rewards/rejected': 0.4785394072532654, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.35646751523017883, 'logps/chosen': -270.6909484863281, 'logps/rejected': -313.53753662109375, 'logits/chosen': -7.485918045043945, 'logits/rejected': -7.678300380706787, 'epoch': 0.33}
{'loss': 0.6416, 'grad_norm': 19.784828186035156, 'learning_rate': 1.0477916117739977e-05, 'rewards/chosen': 0.7222249507904053, 'rewards/rejected': 0.5104891657829285, 'rewards/accuracies': 0.625, 'rewards/margins': 0.2117357850074768, 'logps/chosen': -247.471435546875, 'logps/rejected': -302.04156494140625, 'logits/chosen': -7.650947570800781, 'logits/rejected': -7.599395275115967, 'epoch': 0.36}
{'loss': 0.5893, 'grad_norm': 65.37174224853516, 'learning_rate': 1.0334235564932223e-05, 'rewards/chosen': 0.6211901903152466, 'rewards/rejected': -0.03735457360744476, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.6585447788238525, 'logps/chosen': -279.77685546875, 'logps/rejected': -294.92193603515625, 'logits/chosen': -7.549299716949463, 'logits/rejected': -7.621181488037109, 'epoch': 0.4}
{'loss': 0.5018, 'grad_norm': 58.95368576049805, 'learning_rate': 1.0178377063714782e-05, 'rewards/chosen': 0.5728000998497009, 'rewards/rejected': -0.07561147212982178, 'rewards/accuracies': 0.84375, 'rewards/margins': 0.6484116315841675, 'logps/chosen': -283.2448425292969, 'logps/rejected': -290.6642150878906, 'logits/chosen': -7.494511127471924, 'logits/rejected': -7.68855619430542, 'epoch': 0.43}
{'loss': 1.1945, 'grad_norm': 428.3205871582031, 'learning_rate': 1.0010740700624939e-05, 'rewards/chosen': 0.3629867136478424, 'rewards/rejected': -0.16325248777866364, 'rewards/accuracies': 0.75, 'rewards/margins': 0.5262392163276672, 'logps/chosen': -298.23065185546875, 'logps/rejected': -321.96038818359375, 'logits/chosen': -7.425394535064697, 'logits/rejected': -7.48478889465332, 'epoch': 0.46}
{'loss': 1.7189, 'grad_norm': 704.6810913085938, 'learning_rate': 9.831756795802491e-06, 'rewards/chosen': -0.02090110071003437, 'rewards/rejected': -0.5216941237449646, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.5007930397987366, 'logps/chosen': -304.00347900390625, 'logps/rejected': -303.8874816894531, 'logits/chosen': -7.3973565101623535, 'logits/rejected': -7.608158111572266, 'epoch': 0.49}
{'loss': 0.6666, 'grad_norm': 223.84754943847656, 'learning_rate': 9.64188479836411e-06, 'rewards/chosen': 0.44581881165504456, 'rewards/rejected': -0.5424288511276245, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.9882476329803467, 'logps/chosen': -281.0325622558594, 'logps/rejected': -308.7829284667969, 'logits/chosen': -7.457455158233643, 'logits/rejected': -7.502997398376465, 'epoch': 0.53}
{'loss': 0.4053, 'grad_norm': 32.91682815551758, 'learning_rate': 9.441612107004055e-06, 'rewards/chosen': 0.5375874042510986, 'rewards/rejected': -0.23296841979026794, 'rewards/accuracies': 0.84375, 'rewards/margins': 0.7705557942390442, 'logps/chosen': -279.0045471191406, 'logps/rejected': -279.519287109375, 'logits/chosen': -7.554100036621094, 'logits/rejected': -7.487142086029053, 'epoch': 0.56}
{'loss': 0.7879, 'grad_norm': 257.2816467285156, 'learning_rate': 9.231452818848717e-06, 'rewards/chosen': 0.09054554998874664, 'rewards/rejected': -0.4687563478946686, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.5593018531799316, 'logps/chosen': -261.0235900878906, 'logps/rejected': -302.888671875, 'logits/chosen': -7.574616432189941, 'logits/rejected': -7.595311641693115, 'epoch': 0.59}
{'loss': 0.9572, 'grad_norm': 383.0162048339844, 'learning_rate': 9.01194640977666e-06, 'rewards/chosen': 0.38436394929885864, 'rewards/rejected': -0.29049089550971985, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.6748548746109009, 'logps/chosen': -289.7812194824219, 'logps/rejected': -308.63665771484375, 'logits/chosen': -7.515174865722656, 'logits/rejected': -7.50752067565918, 'epoch': 0.63}
{'loss': 0.6929, 'grad_norm': 200.91046142578125, 'learning_rate': 8.783656349591793e-06, 'rewards/chosen': 0.13368619978427887, 'rewards/rejected': -0.603488564491272, 'rewards/accuracies': 0.75, 'rewards/margins': 0.7371748089790344, 'logps/chosen': -282.06671142578125, 'logps/rejected': -275.2647705078125, 'logits/chosen': -7.582968711853027, 'logits/rejected': -7.781149387359619, 'epoch': 0.66}
{'loss': 0.3835, 'grad_norm': 35.8800048828125, 'learning_rate': 8.547168655604447e-06, 'rewards/chosen': 0.5976649522781372, 'rewards/rejected': -0.33549875020980835, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.9331637620925903, 'logps/chosen': -277.814208984375, 'logps/rejected': -293.7055358886719, 'logits/chosen': -7.493390083312988, 'logits/rejected': -7.555087566375732, 'epoch': 0.69}
{'loss': 0.5869, 'grad_norm': 180.7644500732422, 'learning_rate': 8.30309038833336e-06, 'rewards/chosen': 0.7610545754432678, 'rewards/rejected': -0.347744882106781, 'rewards/accuracies': 0.84375, 'rewards/margins': 1.1087994575500488, 'logps/chosen': -236.19175720214844, 'logps/rejected': -318.4413146972656, 'logits/chosen': -7.546675205230713, 'logits/rejected': -7.5157976150512695, 'epoch': 0.73}
{'loss': 0.3608, 'grad_norm': 17.835302352905273, 'learning_rate': 8.052048093190014e-06, 'rewards/chosen': 0.6319375038146973, 'rewards/rejected': -0.27866503596305847, 'rewards/accuracies': 0.75, 'rewards/margins': 0.9106025099754333, 'logps/chosen': -250.73211669921875, 'logps/rejected': -270.5233459472656, 'logits/chosen': -7.660853385925293, 'logits/rejected': -7.66477632522583, 'epoch': 0.76}
{'loss': 0.4377, 'grad_norm': 64.69584655761719, 'learning_rate': 7.794686192145572e-06, 'rewards/chosen': 0.7510482668876648, 'rewards/rejected': -0.35072749853134155, 'rewards/accuracies': 0.8125, 'rewards/margins': 1.1017757654190063, 'logps/chosen': -257.2976379394531, 'logps/rejected': -278.2980651855469, 'logits/chosen': -7.6759138107299805, 'logits/rejected': -7.728392124176025, 'epoch': 0.79}
{'loss': 0.4078, 'grad_norm': 25.17214584350586, 'learning_rate': 7.531665329508901e-06, 'rewards/chosen': 0.7903465628623962, 'rewards/rejected': -0.21764804422855377, 'rewards/accuracies': 0.78125, 'rewards/margins': 1.0079946517944336, 'logps/chosen': -259.4830627441406, 'logps/rejected': -301.7796936035156, 'logits/chosen': -7.521149635314941, 'logits/rejected': -7.622754096984863, 'epoch': 0.82}
