Finetuning score threshold: -541.75
Learning rate before schedule: 1e-05
Learning rate after schedule: 7.071067811865476e-06
Finetuning with 2150 chats
Extracting prompt in train dataset: 100%|██████████| 2150/2150 [00:00<00:00, 5151.68 examples/s]
Applying chat template to train dataset: 100%|██████████| 2150/2150 [00:00<00:00, 3018.34 examples/s]
Tokenizing train dataset: 100%|██████████| 2150/2150 [00:07<00:00, 303.33 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 1}.
                                                
{'loss': 0.6931, 'grad_norm': 29.618337631225586, 'learning_rate': 7.071067811865476e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -285.89923095703125, 'logps/rejected': -273.84405517578125, 'logits/chosen': -7.4353532791137695, 'logits/rejected': -7.697968482971191, 'epoch': 0.01}
{'loss': 0.8522, 'grad_norm': 127.30042266845703, 'learning_rate': 7.070124560098342e-06, 'rewards/chosen': -0.0925561934709549, 'rewards/rejected': 0.01697607710957527, 'rewards/accuracies': 0.375, 'rewards/margins': -0.10953225940465927, 'logps/chosen': -259.0688781738281, 'logps/rejected': -280.02777099609375, 'logits/chosen': -7.525432586669922, 'logits/rejected': -7.6063947677612305, 'epoch': 0.03}
{'loss': 0.7684, 'grad_norm': 49.109920501708984, 'learning_rate': 7.0672953081007796e-06, 'rewards/chosen': -0.013458472676575184, 'rewards/rejected': 0.09223423898220062, 'rewards/accuracies': 0.4375, 'rewards/margins': -0.10569268465042114, 'logps/chosen': -240.3712158203125, 'logps/rejected': -250.74752807617188, 'logits/chosen': -7.5165581703186035, 'logits/rejected': -7.52255916595459, 'epoch': 0.04}
{'loss': 0.8292, 'grad_norm': 91.83525848388672, 'learning_rate': 7.062581565515755e-06, 'rewards/chosen': 0.03421943262219429, 'rewards/rejected': 0.1772352159023285, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.1430157870054245, 'logps/chosen': -258.8404235839844, 'logps/rejected': -324.6587829589844, 'logits/chosen': -7.508878231048584, 'logits/rejected': -7.489054203033447, 'epoch': 0.06}
{'loss': 0.6773, 'grad_norm': 27.99641227722168, 'learning_rate': 7.055985847519839e-06, 'rewards/chosen': 0.3111391067504883, 'rewards/rejected': 0.18177902698516846, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.12936007976531982, 'logps/chosen': -266.9503479003906, 'logps/rejected': -266.8518371582031, 'logits/chosen': -7.4027276039123535, 'logits/rejected': -7.464796543121338, 'epoch': 0.07}
{'loss': 0.7132, 'grad_norm': 26.14104461669922, 'learning_rate': 7.047511673481151e-06, 'rewards/chosen': 0.4676096737384796, 'rewards/rejected': 0.4521390497684479, 'rewards/accuracies': 0.4375, 'rewards/margins': 0.015470650047063828, 'logps/chosen': -271.0888977050781, 'logps/rejected': -294.4721374511719, 'logits/chosen': -7.600159645080566, 'logits/rejected': -7.554154396057129, 'epoch': 0.09}
{'loss': 0.6935, 'grad_norm': 12.362663269042969, 'learning_rate': 7.037163565081479e-06, 'rewards/chosen': 0.6511967778205872, 'rewards/rejected': 0.6108601093292236, 'rewards/accuracies': 0.5, 'rewards/margins': 0.040336646139621735, 'logps/chosen': -292.18585205078125, 'logps/rejected': -304.62738037109375, 'logits/chosen': -7.387395858764648, 'logits/rejected': -7.491177082061768, 'epoch': 0.1}
{'loss': 0.6986, 'grad_norm': 9.803772926330566, 'learning_rate': 7.024947043903583e-06, 'rewards/chosen': 0.8764159679412842, 'rewards/rejected': 0.7677836418151855, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.10863233357667923, 'logps/chosen': -253.86148071289062, 'logps/rejected': -276.77313232421875, 'logits/chosen': -7.50353479385376, 'logits/rejected': -7.542511940002441, 'epoch': 0.12}
{'loss': 0.6683, 'grad_norm': 9.444293975830078, 'learning_rate': 7.010868628484975e-06, 'rewards/chosen': 0.9823563098907471, 'rewards/rejected': 0.7421252727508545, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.2402309626340866, 'logps/chosen': -275.37017822265625, 'logps/rejected': -266.5032958984375, 'logits/chosen': -7.478105545043945, 'logits/rejected': -7.534581184387207, 'epoch': 0.13}
{'loss': 0.6413, 'grad_norm': 8.796037673950195, 'learning_rate': 6.994935830839721e-06, 'rewards/chosen': 1.0751543045043945, 'rewards/rejected': 0.7599522471427917, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.31520211696624756, 'logps/chosen': -310.24951171875, 'logps/rejected': -305.90472412109375, 'logits/chosen': -7.385584354400635, 'logits/rejected': -7.3792948722839355, 'epoch': 0.15}
{'loss': 0.653, 'grad_norm': 8.51230525970459, 'learning_rate': 6.977157152450164e-06, 'rewards/chosen': 1.0215117931365967, 'rewards/rejected': 0.8346402645111084, 'rewards/accuracies': 0.625, 'rewards/margins': 0.1868715137243271, 'logps/chosen': -263.6589660644531, 'logps/rejected': -293.7358093261719, 'logits/chosen': -7.550094127655029, 'logits/rejected': -7.569819450378418, 'epoch': 0.16}
