Finetuning score threshold: -541.75
Learning rate before schedule: 1e-05
Learning rate after schedule: 6.4549722436790284e-06
Finetuning with 2521 chats
Extracting prompt in train dataset: 100%|██████████| 2521/2521 [00:00<00:00, 5129.58 examples/s]
Applying chat template to train dataset: 100%|██████████| 2521/2521 [00:00<00:00, 3042.45 examples/s]
Tokenizing train dataset: 100%|██████████| 2521/2521 [00:08<00:00, 294.93 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 1}.
                                                 
{'loss': 0.6931, 'grad_norm': 31.220449447631836, 'learning_rate': 6.4549722436790284e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -265.9875793457031, 'logps/rejected': -301.85107421875, 'logits/chosen': -7.447696208953857, 'logits/rejected': -7.4755425453186035, 'epoch': 0.01}
{'loss': 0.7008, 'grad_norm': 71.91029357910156, 'learning_rate': 6.454334265755214e-06, 'rewards/chosen': -0.016788676381111145, 'rewards/rejected': -0.04930201172828674, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.032513327896595, 'logps/chosen': -294.6744079589844, 'logps/rejected': -281.23065185546875, 'logits/chosen': -7.490851402282715, 'logits/rejected': -7.623397350311279, 'epoch': 0.03}
{'loss': 0.6461, 'grad_norm': 63.651126861572266, 'learning_rate': 6.452420584202257e-06, 'rewards/chosen': 0.05388260632753372, 'rewards/rejected': -0.03819477930665016, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.09207738935947418, 'logps/chosen': -251.01107788085938, 'logps/rejected': -246.48385620117188, 'logits/chosen': -7.3735857009887695, 'logits/rejected': -7.567882537841797, 'epoch': 0.04}
{'loss': 0.7521, 'grad_norm': 93.14647674560547, 'learning_rate': 6.449231955575903e-06, 'rewards/chosen': 0.05318429321050644, 'rewards/rejected': -0.0027817711234092712, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.055966056883335114, 'logps/chosen': -235.866943359375, 'logps/rejected': -272.6783447265625, 'logits/chosen': -7.601162433624268, 'logits/rejected': -7.520296573638916, 'epoch': 0.05}
{'loss': 0.8317, 'grad_norm': 108.07349395751953, 'learning_rate': 6.444769640470059e-06, 'rewards/chosen': 0.06492533534765244, 'rewards/rejected': 0.06795933097600937, 'rewards/accuracies': 0.53125, 'rewards/margins': -0.003033997491002083, 'logps/chosen': -279.8461608886719, 'logps/rejected': -295.5421447753906, 'logits/chosen': -7.4296369552612305, 'logits/rejected': -7.36246919631958, 'epoch': 0.06}
{'loss': 0.7141, 'grad_norm': 52.18182373046875, 'learning_rate': 6.43903540301843e-06, 'rewards/chosen': 0.20499959588050842, 'rewards/rejected': 0.1925065964460373, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.012492997571825981, 'logps/chosen': -283.1611022949219, 'logps/rejected': -271.8437805175781, 'logits/chosen': -7.566092014312744, 'logits/rejected': -7.557772636413574, 'epoch': 0.08}
{'loss': 0.6521, 'grad_norm': 33.14610290527344, 'learning_rate': 6.432031510197089e-06, 'rewards/chosen': 0.27585527300834656, 'rewards/rejected': 0.13752104341983795, 'rewards/accuracies': 0.625, 'rewards/margins': 0.13833419978618622, 'logps/chosen': -283.44281005859375, 'logps/rejected': -269.6387634277344, 'logits/chosen': -7.391739845275879, 'logits/rejected': -7.523151397705078, 'epoch': 0.09}
{'loss': 0.684, 'grad_norm': 23.10938835144043, 'learning_rate': 6.423760730928245e-06, 'rewards/chosen': 0.39740824699401855, 'rewards/rejected': 0.31596747040748596, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.08144079148769379, 'logps/chosen': -271.8302917480469, 'logps/rejected': -267.0933532714844, 'logits/chosen': -7.545900344848633, 'logits/rejected': -7.578128814697266, 'epoch': 0.1}
{'loss': 0.6109, 'grad_norm': 16.179546356201172, 'learning_rate': 6.414226334985575e-06, 'rewards/chosen': 0.6783015131950378, 'rewards/rejected': 0.3041384220123291, 'rewards/accuracies': 0.875, 'rewards/margins': 0.3741630017757416, 'logps/chosen': -249.0096435546875, 'logps/rejected': -262.3839111328125, 'logits/chosen': -7.30902099609375, 'logits/rejected': -7.516683101654053, 'epoch': 0.11}
{'loss': 0.6917, 'grad_norm': 25.484678268432617, 'learning_rate': 6.4034320917015584e-06, 'rewards/chosen': 0.5835865139961243, 'rewards/rejected': 0.5113444328308105, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.07224206626415253, 'logps/chosen': -278.2193908691406, 'logps/rejected': -261.235595703125, 'logits/chosen': -7.521970272064209, 'logits/rejected': -7.742496013641357, 'epoch': 0.13}
{'loss': 0.6721, 'grad_norm': 14.594380378723145, 'learning_rate': 6.391382268477297e-06, 'rewards/chosen': 0.635780394077301, 'rewards/rejected': 0.5778638124465942, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.05791652947664261, 'logps/chosen': -257.46124267578125, 'logps/rejected': -259.66180419921875, 'logits/chosen': -7.554439067840576, 'logits/rejected': -7.674619674682617, 'epoch': 0.14}
{'loss': 0.6542, 'grad_norm': 13.136754035949707, 'learning_rate': 6.378081629095447e-06, 'rewards/chosen': 0.7308393716812134, 'rewards/rejected': 0.5159221887588501, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.21491718292236328, 'logps/chosen': -267.20867919921875, 'logps/rejected': -242.51467895507812, 'logits/chosen': -7.4988226890563965, 'logits/rejected': -7.590832233428955, 'epoch': 0.15}
{'loss': 0.6825, 'grad_norm': 12.11884593963623, 'learning_rate': 6.363535431836897e-06, 'rewards/chosen': 0.8842442035675049, 'rewards/rejected': 0.7069377303123474, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.17730650305747986, 'logps/chosen': -281.14263916015625, 'logps/rejected': -306.6054992675781, 'logits/chosen': -7.600383758544922, 'logits/rejected': -7.53975772857666, 'epoch': 0.17}
{'loss': 0.6405, 'grad_norm': 12.505019187927246, 'learning_rate': 6.347749427401962e-06, 'rewards/chosen': 1.0882071256637573, 'rewards/rejected': 0.6625392436981201, 'rewards/accuracies': 0.84375, 'rewards/margins': 0.4256678819656372, 'logps/chosen': -247.07899475097656, 'logps/rejected': -262.5872497558594, 'logits/chosen': -7.55843448638916, 'logits/rejected': -7.61732816696167, 'epoch': 0.18}
{'loss': 0.6438, 'grad_norm': 17.312789916992188, 'learning_rate': 6.3307298566368935e-06, 'rewards/chosen': 1.2034837007522583, 'rewards/rejected': 0.678238034248352, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.525245726108551, 'logps/chosen': -277.08453369140625, 'logps/rejected': -263.8144836425781, 'logits/chosen': -7.5088300704956055, 'logits/rejected': -7.471376895904541, 'epoch': 0.19}
{'loss': 0.621, 'grad_norm': 11.757405281066895, 'learning_rate': 6.312483448066625e-06, 'rewards/chosen': 1.1756112575531006, 'rewards/rejected': 0.6338326930999756, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.5417786240577698, 'logps/chosen': -262.17291259765625, 'logps/rejected': -256.5509948730469, 'logits/chosen': -7.533658027648926, 'logits/rejected': -7.5067853927612305, 'epoch': 0.2}
{'loss': 0.6755, 'grad_norm': 24.353187561035156, 'learning_rate': 6.293017415234713e-06, 'rewards/chosen': 1.28044855594635, 'rewards/rejected': 0.7534548044204712, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.5269936919212341, 'logps/chosen': -240.05264282226562, 'logps/rejected': -264.4407653808594, 'logits/chosen': -7.56146240234375, 'logits/rejected': -7.600271224975586, 'epoch': 0.22}
{'loss': 0.6144, 'grad_norm': 12.849695205688477, 'learning_rate': 6.2723394538515255e-06, 'rewards/chosen': 1.147389531135559, 'rewards/rejected': 0.6141632199287415, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.5332263112068176, 'logps/chosen': -264.0118408203125, 'logps/rejected': -253.1205291748047, 'logits/chosen': -7.544460296630859, 'logits/rejected': -7.640425682067871, 'epoch': 0.23}
{'loss': 0.6235, 'grad_norm': 12.71113109588623, 'learning_rate': 6.2504577387518285e-06, 'rewards/chosen': 1.169799566268921, 'rewards/rejected': 0.6480194926261902, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.5217800736427307, 'logps/chosen': -244.10992431640625, 'logps/rejected': -281.64300537109375, 'logits/chosen': -7.504940032958984, 'logits/rejected': -7.647791862487793, 'epoch': 0.24}
{'loss': 0.6383, 'grad_norm': 16.485240936279297, 'learning_rate': 6.22738092066293e-06, 'rewards/chosen': 1.2003346681594849, 'rewards/rejected': 0.6540185213088989, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.5463162064552307, 'logps/chosen': -292.5384826660156, 'logps/rejected': -287.0184020996094, 'logits/chosen': -7.400260925292969, 'logits/rejected': -7.648603916168213, 'epoch': 0.25}
{'loss': 0.6106, 'grad_norm': 19.639184951782227, 'learning_rate': 6.203118122784707e-06, 'rewards/chosen': 0.9528520107269287, 'rewards/rejected': 0.5341036915779114, 'rewards/accuracies': 0.75, 'rewards/margins': 0.4187483489513397, 'logps/chosen': -271.3177185058594, 'logps/rejected': -263.93194580078125, 'logits/chosen': -7.528059959411621, 'logits/rejected': -7.391127586364746, 'epoch': 0.27}
{'loss': 0.6854, 'grad_norm': 46.45585632324219, 'learning_rate': 6.17767893718283e-06, 'rewards/chosen': 0.6450265049934387, 'rewards/rejected': 0.3442726135253906, 'rewards/accuracies': 0.625, 'rewards/margins': 0.3007538318634033, 'logps/chosen': -255.50927734375, 'logps/rejected': -320.658203125, 'logits/chosen': -7.571280479431152, 'logits/rejected': -7.55103874206543, 'epoch': 0.28}
{'loss': 0.6192, 'grad_norm': 23.367706298828125, 'learning_rate': 6.1510734209966325e-06, 'rewards/chosen': 0.7465372085571289, 'rewards/rejected': 0.4771137237548828, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.2694235146045685, 'logps/chosen': -284.831787109375, 'logps/rejected': -330.4851379394531, 'logits/chosen': -7.448169231414795, 'logits/rejected': -7.499305725097656, 'epoch': 0.29}
{'loss': 0.5735, 'grad_norm': 38.72554016113281, 'learning_rate': 6.12331209246312e-06, 'rewards/chosen': 0.6686714887619019, 'rewards/rejected': 0.015544389374554157, 'rewards/accuracies': 0.75, 'rewards/margins': 0.6531271934509277, 'logps/chosen': -289.68255615234375, 'logps/rejected': -281.9646301269531, 'logits/chosen': -7.569838523864746, 'logits/rejected': -7.588004112243652, 'epoch': 0.3}
