Finetuning score threshold: -3301.3008
Learning rate before schedule: 1e-05
Learning rate after schedule: 1.5811388300841898e-05
Finetuning with 1692 chats
Extracting prompt in train dataset: 100%|██████████| 1692/1692 [00:00<00:00, 5102.09 examples/s]
Applying chat template to train dataset: 100%|██████████| 1692/1692 [00:00<00:00, 3295.42 examples/s]
Tokenizing train dataset: 100%|██████████| 1692/1692 [00:05<00:00, 318.93 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128009, 'pad_token_id': 128009}.
                                                
{'loss': 0.6931, 'grad_norm': 9.494598388671875, 'learning_rate': 1.5811388300841898e-05, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -180.2779083251953, 'logps/rejected': -193.5476531982422, 'logits/chosen': 2.2177226543426514, 'logits/rejected': 2.2117180824279785, 'epoch': 0.02}
{'loss': 0.7398, 'grad_norm': 17.66209602355957, 'learning_rate': 1.5807916408598396e-05, 'rewards/chosen': -0.028231142088770866, 'rewards/rejected': -0.00697870459407568, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.02125243842601776, 'logps/chosen': -196.3125762939453, 'logps/rejected': -192.80197143554688, 'logits/chosen': 2.169053792953491, 'logits/rejected': 2.2041397094726562, 'epoch': 0.04}
{'loss': 0.7518, 'grad_norm': 13.42870807647705, 'learning_rate': 1.5797503781324526e-05, 'rewards/chosen': 0.011377144604921341, 'rewards/rejected': 0.10444679111242294, 'rewards/accuracies': 0.3125, 'rewards/margins': -0.0930696427822113, 'logps/chosen': -207.7326202392578, 'logps/rejected': -212.2727508544922, 'logits/chosen': 2.1664648056030273, 'logits/rejected': 2.1817240715026855, 'epoch': 0.06}
{'loss': 0.6917, 'grad_norm': 9.554319381713867, 'learning_rate': 1.5780159564711777e-05, 'rewards/chosen': 0.10089559853076935, 'rewards/rejected': 0.0867224708199501, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.014173127710819244, 'logps/chosen': -191.0096435546875, 'logps/rejected': -218.23214721679688, 'logits/chosen': 2.2667739391326904, 'logits/rejected': 2.2402946949005127, 'epoch': 0.08}
{'loss': 0.7045, 'grad_norm': 11.960647583007812, 'learning_rate': 1.5755898992653592e-05, 'rewards/chosen': 0.051432423293590546, 'rewards/rejected': 0.06770505756139755, 'rewards/accuracies': 0.5, 'rewards/margins': -0.016272641718387604, 'logps/chosen': -183.5621795654297, 'logps/rejected': -195.95037841796875, 'logits/chosen': 2.166895866394043, 'logits/rejected': 2.2359330654144287, 'epoch': 0.09}
{'loss': 0.674, 'grad_norm': 11.069416999816895, 'learning_rate': 1.5724743373865018e-05, 'rewards/chosen': 0.2075512558221817, 'rewards/rejected': 0.12425833195447922, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.08329291641712189, 'logps/chosen': -191.2178955078125, 'logps/rejected': -198.2504119873047, 'logits/chosen': 2.1011862754821777, 'logits/rejected': 2.132028579711914, 'epoch': 0.11}
{'loss': 0.6422, 'grad_norm': 8.396689414978027, 'learning_rate': 1.5686720073166694e-05, 'rewards/chosen': 0.2926105558872223, 'rewards/rejected': 0.12100563198328018, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.1716049313545227, 'logps/chosen': -174.60708618164062, 'logps/rejected': -213.7936248779297, 'logits/chosen': 2.1848630905151367, 'logits/rejected': 2.213404655456543, 'epoch': 0.13}
{'loss': 0.6102, 'grad_norm': 8.912549018859863, 'learning_rate': 1.564186248744958e-05, 'rewards/chosen': 0.3281627595424652, 'rewards/rejected': 0.05460634455084801, 'rewards/accuracies': 0.84375, 'rewards/margins': 0.2735564410686493, 'logps/chosen': -202.8032684326172, 'logps/rejected': -208.84912109375, 'logits/chosen': 2.092880964279175, 'logits/rejected': 2.1706254482269287, 'epoch': 0.15}
{'loss': 0.6121, 'grad_norm': 8.55142593383789, 'learning_rate': 1.559021001634158e-05, 'rewards/chosen': 0.297164648771286, 'rewards/rejected': 0.06668472290039062, 'rewards/accuracies': 0.75, 'rewards/margins': 0.2304799109697342, 'logps/chosen': -182.76368713378906, 'logps/rejected': -198.3450164794922, 'logits/chosen': 2.187727928161621, 'logits/rejected': 2.213167190551758, 'epoch': 0.17}
{'loss': 0.6089, 'grad_norm': 10.032439231872559, 'learning_rate': 1.553180802760177e-05, 'rewards/chosen': 0.3017025887966156, 'rewards/rejected': 0.04075222462415695, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.26095035672187805, 'logps/chosen': -178.32000732421875, 'logps/rejected': -181.67279052734375, 'logits/chosen': 2.253594398498535, 'logits/rejected': 2.250009775161743, 'epoch': 0.19}
{'loss': 0.6154, 'grad_norm': 10.190800666809082, 'learning_rate': 1.546670781727269e-05, 'rewards/chosen': 0.2679325044155121, 'rewards/rejected': 0.07274770736694336, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.19518479704856873, 'logps/chosen': -195.64999389648438, 'logps/rejected': -219.7134246826172, 'logits/chosen': 2.1771016120910645, 'logits/rejected': 2.1678876876831055, 'epoch': 0.21}
{'loss': 0.6476, 'grad_norm': 13.966115951538086, 'learning_rate': 1.5394966564625635e-05, 'rewards/chosen': 0.17339524626731873, 'rewards/rejected': 0.041704364120960236, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.1316908895969391, 'logps/chosen': -179.2870330810547, 'logps/rejected': -209.63609313964844, 'logits/chosen': 2.161738634109497, 'logits/rejected': 2.254042625427246, 'epoch': 0.23}
{'loss': 0.5862, 'grad_norm': 11.880156517028809, 'learning_rate': 1.531664728193856e-05, 'rewards/chosen': 0.20680445432662964, 'rewards/rejected': -0.05013303831219673, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.25693750381469727, 'logps/chosen': -187.10107421875, 'logps/rejected': -186.21511840820312, 'logits/chosen': 2.2815024852752686, 'logits/rejected': 2.2603530883789062, 'epoch': 0.25}
{'loss': 0.5038, 'grad_norm': 13.384703636169434, 'learning_rate': 1.523181875915068e-05, 'rewards/chosen': 0.24443961679935455, 'rewards/rejected': -0.15947552025318146, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.40391507744789124, 'logps/chosen': -224.06219482421875, 'logps/rejected': -234.72808837890625, 'logits/chosen': 2.1620514392852783, 'logits/rejected': 2.193786859512329, 'epoch': 0.26}
