Finetuning score threshold: -190.37506000000008
Learning rate before schedule: 1e-05
Learning rate after schedule: 1.118033988749895e-05
Finetuning with 2463 chats
Extracting prompt in train dataset: 100%|██████████| 2463/2463 [00:00<00:00, 5386.53 examples/s]
Applying chat template to train dataset: 100%|██████████| 2463/2463 [00:00<00:00, 3332.84 examples/s]
Tokenizing train dataset: 100%|██████████| 2463/2463 [00:08<00:00, 298.76 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128009, 'pad_token_id': 128009}.
                                                
{'loss': 0.6931, 'grad_norm': 9.776200294494629, 'learning_rate': 1.118033988749895e-05, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -188.0402069091797, 'logps/rejected': -185.598876953125, 'logits/chosen': 2.230983257293701, 'logits/rejected': 2.3209102153778076, 'epoch': 0.01}
{'loss': 0.664, 'grad_norm': 13.267382621765137, 'learning_rate': 1.1179176730716112e-05, 'rewards/chosen': 0.017413616180419922, 'rewards/rejected': -0.013374139554798603, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.03078775480389595, 'logps/chosen': -182.50482177734375, 'logps/rejected': -200.63670349121094, 'logits/chosen': 2.1721012592315674, 'logits/rejected': 2.2656898498535156, 'epoch': 0.03}
{'loss': 0.6611, 'grad_norm': 11.732583999633789, 'learning_rate': 1.1175687744407868e-05, 'rewards/chosen': 0.062127355486154556, 'rewards/rejected': -0.013531496748328209, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.07565885037183762, 'logps/chosen': -167.3953857421875, 'logps/rejected': -211.5364532470703, 'logits/chosen': 2.2253506183624268, 'logits/rejected': 2.320409059524536, 'epoch': 0.04}
{'loss': 0.6585, 'grad_norm': 10.738860130310059, 'learning_rate': 1.1169874380493622e-05, 'rewards/chosen': 0.05685301125049591, 'rewards/rejected': -0.028277017176151276, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.08513002097606659, 'logps/chosen': -170.2486114501953, 'logps/rejected': -206.6776885986328, 'logits/chosen': 2.2404062747955322, 'logits/rejected': 2.292365550994873, 'epoch': 0.05}
{'loss': 0.7194, 'grad_norm': 10.774033546447754, 'learning_rate': 1.1161739058167682e-05, 'rewards/chosen': 0.043206214904785156, 'rewards/rejected': 0.09141864627599716, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.048212431371212006, 'logps/chosen': -188.88082885742188, 'logps/rejected': -219.9692840576172, 'logits/chosen': 2.1560940742492676, 'logits/rejected': 2.200295925140381, 'epoch': 0.06}
{'loss': 0.6766, 'grad_norm': 9.963754653930664, 'learning_rate': 1.1151285162892549e-05, 'rewards/chosen': 0.08210181444883347, 'rewards/rejected': 0.06340113282203674, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.018700692802667618, 'logps/chosen': -184.77297973632812, 'logps/rejected': -200.62249755859375, 'logits/chosen': 2.2209208011627197, 'logits/rejected': 2.2555043697357178, 'epoch': 0.08}
{'loss': 0.6925, 'grad_norm': 10.700942039489746, 'learning_rate': 1.1138517044990057e-05, 'rewards/chosen': 0.07185792177915573, 'rewards/rejected': 0.04624957963824272, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.025608349591493607, 'logps/chosen': -171.59222412109375, 'logps/rejected': -199.36163330078125, 'logits/chosen': 2.1983885765075684, 'logits/rejected': 2.24246883392334, 'epoch': 0.09}
{'loss': 0.7072, 'grad_norm': 15.926029205322266, 'learning_rate': 1.1123440017831033e-05, 'rewards/chosen': 0.0906735435128212, 'rewards/rejected': 0.0854092687368393, 'rewards/accuracies': 0.46875, 'rewards/margins': 0.0052642859518527985, 'logps/chosen': -183.16653442382812, 'logps/rejected': -202.4081573486328, 'logits/chosen': 2.1646740436553955, 'logits/rejected': 2.1660842895507812, 'epoch': 0.1}
{'loss': 0.7024, 'grad_norm': 11.88619327545166, 'learning_rate': 1.1106060355624161e-05, 'rewards/chosen': 0.014337492175400257, 'rewards/rejected': 0.016248706728219986, 'rewards/accuracies': 0.53125, 'rewards/margins': -0.0019112075679004192, 'logps/chosen': -171.26272583007812, 'logps/rejected': -191.93374633789062, 'logits/chosen': 2.2615840435028076, 'logits/rejected': 2.2265007495880127, 'epoch': 0.12}
{'loss': 0.6404, 'grad_norm': 11.318930625915527, 'learning_rate': 1.1086385290805017e-05, 'rewards/chosen': 0.11244994401931763, 'rewards/rejected': -0.029747964814305305, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.1421978920698166, 'logps/chosen': -188.02586364746094, 'logps/rejected': -204.9427032470703, 'logits/chosen': 2.2159535884857178, 'logits/rejected': 2.1746628284454346, 'epoch': 0.13}
{'loss': 0.6774, 'grad_norm': 9.798989295959473, 'learning_rate': 1.1064423011026326e-05, 'rewards/chosen': 0.1087745651602745, 'rewards/rejected': 0.05222807079553604, 'rewards/accuracies': 0.5, 'rewards/margins': 0.056546494364738464, 'logps/chosen': -177.20924377441406, 'logps/rejected': -190.15809631347656, 'logits/chosen': 2.186758518218994, 'logits/rejected': 2.2762715816497803, 'epoch': 0.14}
