Finetuning score threshold: -148.41005
Learning rate before schedule: 1e-05
Learning rate after schedule: 9.12870929175277e-06
Finetuning with 2796 chats
Extracting prompt in train dataset: 100%|██████████| 2796/2796 [00:00<00:00, 5239.19 examples/s]
Applying chat template to train dataset: 100%|██████████| 2796/2796 [00:00<00:00, 3302.01 examples/s]
Tokenizing train dataset: 100%|██████████| 2796/2796 [00:09<00:00, 283.33 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128009, 'pad_token_id': 128009}.
                                                
{'loss': 0.6931, 'grad_norm': 9.888455390930176, 'learning_rate': 9.12870929175277e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -177.59213256835938, 'logps/rejected': -189.80503845214844, 'logits/chosen': 2.264875888824463, 'logits/rejected': 2.265211582183838, 'epoch': 0.01}
{'loss': 0.7179, 'grad_norm': 15.095749855041504, 'learning_rate': 9.12798216141637e-06, 'rewards/chosen': -0.0665929839015007, 'rewards/rejected': -0.04345502704381943, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.023137949407100677, 'logps/chosen': -191.39678955078125, 'logps/rejected': -187.72189331054688, 'logits/chosen': 2.138792037963867, 'logits/rejected': 2.223663330078125, 'epoch': 0.02}
{'loss': 0.7319, 'grad_norm': 12.492454528808594, 'learning_rate': 9.125801002080026e-06, 'rewards/chosen': -0.013988018967211246, 'rewards/rejected': 0.0637584701180458, 'rewards/accuracies': 0.28125, 'rewards/margins': -0.07774648070335388, 'logps/chosen': -186.0922088623047, 'logps/rejected': -165.42529296875, 'logits/chosen': 2.2313473224639893, 'logits/rejected': 2.2110235691070557, 'epoch': 0.03}
{'loss': 0.6957, 'grad_norm': 10.871749877929688, 'learning_rate': 9.122166508688473e-06, 'rewards/chosen': 0.051285646855831146, 'rewards/rejected': 0.04446258395910263, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.006823066622018814, 'logps/chosen': -175.30816650390625, 'logps/rejected': -191.68763732910156, 'logits/chosen': 2.233393669128418, 'logits/rejected': 2.2489867210388184, 'epoch': 0.05}
{'loss': 0.7083, 'grad_norm': 11.744098663330078, 'learning_rate': 9.117079839236919e-06, 'rewards/chosen': 0.06648197770118713, 'rewards/rejected': 0.06736765056848526, 'rewards/accuracies': 0.46875, 'rewards/margins': -0.0008856840431690216, 'logps/chosen': -177.85464477539062, 'logps/rejected': -195.2694854736328, 'logits/chosen': 2.2775306701660156, 'logits/rejected': 2.2717130184173584, 'epoch': 0.06}
{'loss': 0.728, 'grad_norm': 14.668442726135254, 'learning_rate': 9.11054261440209e-06, 'rewards/chosen': 0.06377163529396057, 'rewards/rejected': 0.08658237010240555, 'rewards/accuracies': 0.5, 'rewards/margins': -0.022810744121670723, 'logps/chosen': -198.0017547607422, 'logps/rejected': -181.05093383789062, 'logits/chosen': 2.1874747276306152, 'logits/rejected': 2.2773709297180176, 'epoch': 0.07}
{'loss': 0.6597, 'grad_norm': 10.512934684753418, 'learning_rate': 9.10255691702586e-06, 'rewards/chosen': 0.14199203252792358, 'rewards/rejected': 0.0492742583155632, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.09271779656410217, 'logps/chosen': -163.86512756347656, 'logps/rejected': -202.6250457763672, 'logits/chosen': 2.278198003768921, 'logits/rejected': 2.332019567489624, 'epoch': 0.08}
{'loss': 0.6745, 'grad_norm': 9.175591468811035, 'learning_rate': 9.093125291451633e-06, 'rewards/chosen': 0.19278335571289062, 'rewards/rejected': 0.1470390409231186, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.04574431851506233, 'logps/chosen': -187.4680633544922, 'logps/rejected': -206.25001525878906, 'logits/chosen': 2.229910373687744, 'logits/rejected': 2.268902063369751, 'epoch': 0.09}
{'loss': 0.687, 'grad_norm': 8.316522598266602, 'learning_rate': 9.082250742713682e-06, 'rewards/chosen': 0.21034210920333862, 'rewards/rejected': 0.13487978279590607, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.07546233385801315, 'logps/chosen': -165.48170471191406, 'logps/rejected': -196.30596923828125, 'logits/chosen': 2.1654164791107178, 'logits/rejected': 2.279601812362671, 'epoch': 0.1}
{'loss': 0.7395, 'grad_norm': 13.24162769317627, 'learning_rate': 9.069936735579713e-06, 'rewards/chosen': 0.17421722412109375, 'rewards/rejected': 0.21142511069774628, 'rewards/accuracies': 0.5, 'rewards/margins': -0.037207890301942825, 'logps/chosen': -166.46426391601562, 'logps/rejected': -197.53536987304688, 'logits/chosen': 2.196896553039551, 'logits/rejected': 2.3022382259368896, 'epoch': 0.11}
{'loss': 0.6535, 'grad_norm': 7.962515354156494, 'learning_rate': 9.05618719344694e-06, 'rewards/chosen': 0.2397003471851349, 'rewards/rejected': 0.1284898817539215, 'rewards/accuracies': 0.625, 'rewards/margins': 0.11121049523353577, 'logps/chosen': -182.9832000732422, 'logps/rejected': -180.89828491210938, 'logits/chosen': 2.228017568588257, 'logits/rejected': 2.3022990226745605, 'epoch': 0.13}
{'loss': 0.6441, 'grad_norm': 7.0129804611206055, 'learning_rate': 9.041006497092043e-06, 'rewards/chosen': 0.2816086411476135, 'rewards/rejected': 0.15513822436332703, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.1264704167842865, 'logps/chosen': -171.65182495117188, 'logps/rejected': -190.59506225585938, 'logits/chosen': 2.2389769554138184, 'logits/rejected': 2.280585765838623, 'epoch': 0.14}
{'loss': 0.6986, 'grad_norm': 5.579547882080078, 'learning_rate': 9.024399483275395e-06, 'rewards/chosen': 0.29398298263549805, 'rewards/rejected': 0.3227255940437317, 'rewards/accuracies': 0.375, 'rewards/margins': -0.028742603957653046, 'logps/chosen': -177.44638061523438, 'logps/rejected': -182.67098999023438, 'logits/chosen': 2.2462944984436035, 'logits/rejected': 2.2866873741149902, 'epoch': 0.15}
{'loss': 0.6609, 'grad_norm': 8.06263256072998, 'learning_rate': 9.00637144320002e-06, 'rewards/chosen': 0.28694331645965576, 'rewards/rejected': 0.20932750403881073, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.07761578261852264, 'logps/chosen': -155.35621643066406, 'logps/rejected': -197.77285766601562, 'logits/chosen': 2.275938034057617, 'logits/rejected': 2.301551342010498, 'epoch': 0.16}
{'loss': 0.6332, 'grad_norm': 8.473596572875977, 'learning_rate': 8.986928120825737e-06, 'rewards/chosen': 0.39606809616088867, 'rewards/rejected': 0.18673935532569885, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.2093287706375122, 'logps/chosen': -151.9687042236328, 'logps/rejected': -208.8331298828125, 'logits/chosen': 2.221285104751587, 'logits/rejected': 2.3721446990966797, 'epoch': 0.17}
{'loss': 0.674, 'grad_norm': 5.391393184661865, 'learning_rate': 8.966075711039065e-06, 'rewards/chosen': 0.44657373428344727, 'rewards/rejected': 0.35589495301246643, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.09067878872156143, 'logps/chosen': -190.6436767578125, 'logps/rejected': -203.37486267089844, 'logits/chosen': 2.1736905574798584, 'logits/rejected': 2.262674331665039, 'epoch': 0.18}
{'loss': 0.6763, 'grad_norm': 6.671911716461182, 'learning_rate': 8.943820857679464e-06, 'rewards/chosen': 0.37100884318351746, 'rewards/rejected': 0.30095815658569336, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.07005070894956589, 'logps/chosen': -156.1571502685547, 'logps/rejected': -185.3926239013672, 'logits/chosen': 2.2701704502105713, 'logits/rejected': 2.266263008117676, 'epoch': 0.19}
{'loss': 0.6227, 'grad_norm': 7.281584739685059, 'learning_rate': 8.920170651422509e-06, 'rewards/chosen': 0.5503853559494019, 'rewards/rejected': 0.1761777102947235, 'rewards/accuracies': 0.75, 'rewards/margins': 0.3742077052593231, 'logps/chosen': -165.0889892578125, 'logps/rejected': -189.93214416503906, 'logits/chosen': 2.247897148132324, 'logits/rejected': 2.324397563934326, 'epoch': 0.21}
{'loss': 0.6658, 'grad_norm': 5.548182487487793, 'learning_rate': 8.895132627520725e-06, 'rewards/chosen': 0.5057080984115601, 'rewards/rejected': 0.3598177134990692, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.14589042961597443, 'logps/chosen': -181.6926727294922, 'logps/rejected': -195.89707946777344, 'logits/chosen': 2.236515522003174, 'logits/rejected': 2.2697834968566895, 'epoch': 0.22}
{'loss': 0.5999, 'grad_norm': 8.905879974365234, 'learning_rate': 8.868714763402754e-06, 'rewards/chosen': 0.45997047424316406, 'rewards/rejected': 0.12148552387952805, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.3384849429130554, 'logps/chosen': -165.8871307373047, 'logps/rejected': -202.27537536621094, 'logits/chosen': 2.2987060546875, 'logits/rejected': 2.246088743209839, 'epoch': 0.23}
{'loss': 0.6716, 'grad_norm': 10.667288780212402, 'learning_rate': 8.840925476131648e-06, 'rewards/chosen': 0.4523897171020508, 'rewards/rejected': 0.2637020945549011, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.18868762254714966, 'logps/chosen': -182.15953063964844, 'logps/rejected': -213.00621032714844, 'logits/chosen': 2.230335235595703, 'logits/rejected': 2.3659684658050537, 'epoch': 0.24}
{'loss': 0.6463, 'grad_norm': 11.48736572265625, 'learning_rate': 8.811773619723088e-06, 'rewards/chosen': 0.3333396315574646, 'rewards/rejected': 0.16992798447608948, 'rewards/accuracies': 0.75, 'rewards/margins': 0.16341166198253632, 'logps/chosen': -176.93865966796875, 'logps/rejected': -202.02410888671875, 'logits/chosen': 2.239159107208252, 'logits/rejected': 2.366345167160034, 'epoch': 0.25}
{'loss': 0.6441, 'grad_norm': 8.963850021362305, 'learning_rate': 8.78126848232438e-06, 'rewards/chosen': 0.4348412752151489, 'rewards/rejected': 0.17685604095458984, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.2579852342605591, 'logps/chosen': -177.26223754882812, 'logps/rejected': -199.44085693359375, 'logits/chosen': 2.2835896015167236, 'logits/rejected': 2.264533281326294, 'epoch': 0.26}
{'loss': 0.6096, 'grad_norm': 9.404632568359375, 'learning_rate': 8.749419783255137e-06, 'rewards/chosen': 0.5027878284454346, 'rewards/rejected': 0.10195931792259216, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.40082845091819763, 'logps/chosen': -163.89756774902344, 'logps/rejected': -200.163330078125, 'logits/chosen': 2.2635087966918945, 'logits/rejected': 2.345881462097168, 'epoch': 0.27}
{'loss': 0.6691, 'grad_norm': 7.892225742340088, 'learning_rate': 8.716237669910587e-06, 'rewards/chosen': 0.42469415068626404, 'rewards/rejected': 0.26718130707740784, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.1575128585100174, 'logps/chosen': -175.9397735595703, 'logps/rejected': -188.87428283691406, 'logits/chosen': 2.275169610977173, 'logits/rejected': 2.246934175491333, 'epoch': 0.29}
{'loss': 0.5869, 'grad_norm': 9.889068603515625, 'learning_rate': 8.681732714528474e-06, 'rewards/chosen': 0.2940599322319031, 'rewards/rejected': 0.003878597170114517, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.29018136858940125, 'logps/chosen': -201.37539672851562, 'logps/rejected': -189.67367553710938, 'logits/chosen': 2.2437736988067627, 'logits/rejected': 2.2067654132843018, 'epoch': 0.3}
{'loss': 0.5326, 'grad_norm': 11.803279876708984, 'learning_rate': 8.645915910820622e-06, 'rewards/chosen': 0.4114360511302948, 'rewards/rejected': 0.03516807407140732, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.3762679994106293, 'logps/chosen': -178.08518981933594, 'logps/rejected': -214.77267456054688, 'logits/chosen': 2.237328052520752, 'logits/rejected': 2.2975428104400635, 'epoch': 0.31}
{'loss': 0.6467, 'grad_norm': 17.822599411010742, 'learning_rate': 8.608798670470192e-06, 'rewards/chosen': 0.30671265721321106, 'rewards/rejected': 0.12063808739185333, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.18607454001903534, 'logps/chosen': -182.78448486328125, 'logps/rejected': -193.6324462890625, 'logits/chosen': 2.30078125, 'logits/rejected': 2.3329548835754395, 'epoch': 0.32}
{'loss': 0.5996, 'grad_norm': 18.368200302124023, 'learning_rate': 8.570392819495779e-06, 'rewards/chosen': 0.4487893879413605, 'rewards/rejected': -0.048314012587070465, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.49710339307785034, 'logps/chosen': -175.59539794921875, 'logps/rejected': -216.33970642089844, 'logits/chosen': 2.2347049713134766, 'logits/rejected': 2.3710861206054688, 'epoch': 0.33}
{'loss': 0.5684, 'grad_norm': 12.56302261352539, 'learning_rate': 8.5307105944835e-06, 'rewards/chosen': 0.30989399552345276, 'rewards/rejected': 0.013942532241344452, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.2959514856338501, 'logps/chosen': -181.17530822753906, 'logps/rejected': -195.55270385742188, 'logits/chosen': 2.2548561096191406, 'logits/rejected': 2.360708236694336, 'epoch': 0.34}
{'loss': 0.6742, 'grad_norm': 22.181114196777344, 'learning_rate': 8.489764638688251e-06, 'rewards/chosen': 0.21917028725147247, 'rewards/rejected': 0.045717716217041016, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.17345255613327026, 'logps/chosen': -177.47232055664062, 'logps/rejected': -196.6131134033203, 'logits/chosen': 2.230684995651245, 'logits/rejected': 2.2306926250457764, 'epoch': 0.35}
{'loss': 0.5496, 'grad_norm': 13.09846305847168, 'learning_rate': 8.447567998005426e-06, 'rewards/chosen': 0.32962900400161743, 'rewards/rejected': -0.07284708321094513, 'rewards/accuracies': 0.75, 'rewards/margins': 0.40247610211372375, 'logps/chosen': -173.98118591308594, 'logps/rejected': -190.5997314453125, 'logits/chosen': 2.230883836746216, 'logits/rejected': 2.307244062423706, 'epoch': 0.37}
{'loss': 0.4685, 'grad_norm': 16.324565887451172, 'learning_rate': 8.404134116814308e-06, 'rewards/chosen': 0.29193830490112305, 'rewards/rejected': -0.17737454175949097, 'rewards/accuracies': 0.875, 'rewards/margins': 0.4693128764629364, 'logps/chosen': -165.5197296142578, 'logps/rejected': -209.48663330078125, 'logits/chosen': 2.3218679428100586, 'logits/rejected': 2.34320068359375, 'epoch': 0.38}
{'loss': 0.5519, 'grad_norm': 10.719944953918457, 'learning_rate': 8.359476833694544e-06, 'rewards/chosen': 0.3877434730529785, 'rewards/rejected': -0.04271707311272621, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.43046051263809204, 'logps/chosen': -167.7815399169922, 'logps/rejected': -195.72154235839844, 'logits/chosen': 2.2581465244293213, 'logits/rejected': 2.3065402507781982, 'epoch': 0.39}
{'loss': 0.645, 'grad_norm': 29.043495178222656, 'learning_rate': 8.313610377016982e-06, 'rewards/chosen': 0.2056548297405243, 'rewards/rejected': -0.10798101127147675, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.31363585591316223, 'logps/chosen': -179.76248168945312, 'logps/rejected': -202.06674194335938, 'logits/chosen': 2.2689521312713623, 'logits/rejected': 2.2578952312469482, 'epoch': 0.4}
{'loss': 0.6513, 'grad_norm': 23.36847686767578, 'learning_rate': 8.266549360410342e-06, 'rewards/chosen': 0.3058525323867798, 'rewards/rejected': -0.03906593099236488, 'rewards/accuracies': 0.625, 'rewards/margins': 0.344918429851532, 'logps/chosen': -171.7457275390625, 'logps/rejected': -189.8213348388672, 'logits/chosen': 2.2449967861175537, 'logits/rejected': 2.360175132751465, 'epoch': 0.41}
{'loss': 0.4195, 'grad_norm': 27.1029052734375, 'learning_rate': 8.218308778105135e-06, 'rewards/chosen': 0.3123810887336731, 'rewards/rejected': -0.4014425575733185, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.713823676109314, 'logps/chosen': -178.5225067138672, 'logps/rejected': -234.70787048339844, 'logits/chosen': 2.27223539352417, 'logits/rejected': 2.319439172744751, 'epoch': 0.42}
{'loss': 0.5187, 'grad_norm': 24.249982833862305, 'learning_rate': 8.1689040001563e-06, 'rewards/chosen': 0.046318814158439636, 'rewards/rejected': -0.3967663645744324, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.4430851936340332, 'logps/chosen': -152.80410766601562, 'logps/rejected': -208.72879028320312, 'logits/chosen': 2.254088878631592, 'logits/rejected': 2.2614166736602783, 'epoch': 0.43}
{'loss': 1.2401, 'grad_norm': 166.30943298339844, 'learning_rate': 8.118350767546118e-06, 'rewards/chosen': -0.10908032208681107, 'rewards/rejected': -0.3125689625740051, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.20348863303661346, 'logps/chosen': -173.23025512695312, 'logps/rejected': -195.13998413085938, 'logits/chosen': 2.3001906871795654, 'logits/rejected': 2.2818472385406494, 'epoch': 0.45}
{'loss': 0.6916, 'grad_norm': 46.50774002075195, 'learning_rate': 8.066665187168946e-06, 'rewards/chosen': 0.0881572812795639, 'rewards/rejected': -0.3209162652492523, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.40907353162765503, 'logps/chosen': -155.59585571289062, 'logps/rejected': -194.29782104492188, 'logits/chosen': 2.269702672958374, 'logits/rejected': 2.3456227779388428, 'epoch': 0.46}
{'loss': 0.7285, 'grad_norm': 74.62651824951172, 'learning_rate': 8.013863726699344e-06, 'rewards/chosen': -0.08495950698852539, 'rewards/rejected': -0.2962665855884552, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.2113070785999298, 'logps/chosen': -204.0043182373047, 'logps/rejected': -185.90052795410156, 'logits/chosen': 2.264848470687866, 'logits/rejected': 2.331408739089966, 'epoch': 0.47}
{'loss': 1.138, 'grad_norm': 230.41094970703125, 'learning_rate': 7.959963209345276e-06, 'rewards/chosen': 0.06067372113466263, 'rewards/rejected': -0.46154630184173584, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.5222200751304626, 'logps/chosen': -177.0274658203125, 'logps/rejected': -184.5349578857422, 'logits/chosen': 2.2390971183776855, 'logits/rejected': 2.2917237281799316, 'epoch': 0.48}
{'loss': 0.4749, 'grad_norm': 16.34895896911621, 'learning_rate': 7.90498080848802e-06, 'rewards/chosen': 0.17147991061210632, 'rewards/rejected': -0.3586331605911255, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.5301130414009094, 'logps/chosen': -179.20339965820312, 'logps/rejected': -170.85256958007812, 'logits/chosen': 2.223452568054199, 'logits/rejected': 2.2894515991210938, 'epoch': 0.49}
{'loss': 0.7365, 'grad_norm': 40.14821243286133, 'learning_rate': 7.84893404221052e-06, 'rewards/chosen': -0.03154582530260086, 'rewards/rejected': -0.22225436568260193, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.19070854783058167, 'logps/chosen': -180.9283447265625, 'logps/rejected': -202.49388122558594, 'logits/chosen': 2.2932982444763184, 'logits/rejected': 2.323439121246338, 'epoch': 0.5}
{'loss': 0.5837, 'grad_norm': 37.83984375, 'learning_rate': 7.7918407677159e-06, 'rewards/chosen': 0.1211731880903244, 'rewards/rejected': -0.2941053509712219, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.4152785539627075, 'logps/chosen': -183.48873901367188, 'logps/rejected': -180.47035217285156, 'logits/chosen': 2.317626953125, 'logits/rejected': 2.3737170696258545, 'epoch': 0.52}
{'loss': 0.6971, 'grad_norm': 30.845659255981445, 'learning_rate': 7.73371917563793e-06, 'rewards/chosen': 0.08903893828392029, 'rewards/rejected': -0.09962072223424911, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.18865966796875, 'logps/chosen': -172.37205505371094, 'logps/rejected': -162.68124389648438, 'logits/chosen': 2.3579537868499756, 'logits/rejected': 2.354612112045288, 'epoch': 0.53}
{'loss': 0.4947, 'grad_norm': 28.222909927368164, 'learning_rate': 7.674587784245277e-06, 'rewards/chosen': 0.1919303834438324, 'rewards/rejected': -0.32040873169898987, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.5123391151428223, 'logps/chosen': -153.47940063476562, 'logps/rejected': -196.3565673828125, 'logits/chosen': 2.219825267791748, 'logits/rejected': 2.3758420944213867, 'epoch': 0.54}
