Finetuning score threshold: -150.67304000000001
Learning rate before schedule: 1e-05
Learning rate after schedule: 7.905694150420949e-06
Finetuning with 3604 chats
Extracting prompt in train dataset: 100%|██████████| 3604/3604 [00:00<00:00, 5396.59 examples/s]
Applying chat template to train dataset: 100%|██████████| 3604/3604 [00:01<00:00, 3287.75 examples/s]
Tokenizing train dataset: 100%|██████████| 3604/3604 [00:13<00:00, 275.35 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128009, 'pad_token_id': 128009}.
                                                  
{'loss': 0.6931, 'grad_norm': 9.61907958984375, 'learning_rate': 7.905694150420949e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -169.7147216796875, 'logps/rejected': -200.00576782226562, 'logits/chosen': 2.2600157260894775, 'logits/rejected': 2.25120210647583, 'epoch': 0.01}
{'loss': 0.7107, 'grad_norm': 14.638531684875488, 'learning_rate': 7.905312244940148e-06, 'rewards/chosen': -0.07217159867286682, 'rewards/rejected': -0.055157095193862915, 'rewards/accuracies': 0.46875, 'rewards/margins': -0.017014505341649055, 'logps/chosen': -185.38343811035156, 'logps/rejected': -190.61607360839844, 'logits/chosen': 2.189871072769165, 'logits/rejected': 2.3565564155578613, 'epoch': 0.02}
{'loss': 0.6938, 'grad_norm': 10.660346031188965, 'learning_rate': 7.90416660229356e-06, 'rewards/chosen': 0.060849759727716446, 'rewards/rejected': 0.03140992671251297, 'rewards/accuracies': 0.5, 'rewards/margins': 0.029439829289913177, 'logps/chosen': -174.3755340576172, 'logps/rejected': -183.4635772705078, 'logits/chosen': 2.3026461601257324, 'logits/rejected': 2.2574357986450195, 'epoch': 0.03}
{'loss': 0.7117, 'grad_norm': 11.40711784362793, 'learning_rate': 7.90225744385439e-06, 'rewards/chosen': -0.03805408254265785, 'rewards/rejected': 0.0349363349378109, 'rewards/accuracies': 0.4375, 'rewards/margins': -0.07299042493104935, 'logps/chosen': -169.80059814453125, 'logps/rejected': -191.3153076171875, 'logits/chosen': 2.2692229747772217, 'logits/rejected': 2.306171417236328, 'epoch': 0.04}
{'loss': 0.6873, 'grad_norm': 14.7163724899292, 'learning_rate': 7.899585138530443e-06, 'rewards/chosen': 0.006122400052845478, 'rewards/rejected': -0.00988473929464817, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.016007136553525925, 'logps/chosen': -179.65159606933594, 'logps/rejected': -195.2609405517578, 'logits/chosen': 2.2314321994781494, 'logits/rejected': 2.2692511081695557, 'epoch': 0.04}
{'loss': 0.6673, 'grad_norm': 10.464000701904297, 'learning_rate': 7.896150202692847e-06, 'rewards/chosen': 0.07111073285341263, 'rewards/rejected': 0.0331178717315197, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.03799286484718323, 'logps/chosen': -172.70849609375, 'logps/rejected': -187.66070556640625, 'logits/chosen': 2.2729015350341797, 'logits/rejected': 2.366703510284424, 'epoch': 0.05}
{'loss': 0.6725, 'grad_norm': 11.046016693115234, 'learning_rate': 7.89195330007627e-06, 'rewards/chosen': 0.06580129265785217, 'rewards/rejected': 0.03614645078778267, 'rewards/accuracies': 0.625, 'rewards/margins': 0.029654836282134056, 'logps/chosen': -170.57492065429688, 'logps/rejected': -207.26087951660156, 'logits/chosen': 2.3224680423736572, 'logits/rejected': 2.2804741859436035, 'epoch': 0.06}
{'loss': 0.6716, 'grad_norm': 12.151304244995117, 'learning_rate': 7.886995241650669e-06, 'rewards/chosen': 0.021715261042118073, 'rewards/rejected': -0.040740299969911575, 'rewards/accuracies': 0.625, 'rewards/margins': 0.06245556101202965, 'logps/chosen': -185.9739990234375, 'logps/rejected': -188.12208557128906, 'logits/chosen': 2.3472046852111816, 'logits/rejected': 2.3665454387664795, 'epoch': 0.07}
{'loss': 0.6669, 'grad_norm': 8.816241264343262, 'learning_rate': 7.881276985464587e-06, 'rewards/chosen': 0.17054212093353271, 'rewards/rejected': 0.122894287109375, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.047647833824157715, 'logps/chosen': -163.24322509765625, 'logps/rejected': -210.29013061523438, 'logits/chosen': 2.3347270488739014, 'logits/rejected': 2.3874688148498535, 'epoch': 0.08}
{'loss': 0.7156, 'grad_norm': 11.43687915802002, 'learning_rate': 7.874799636460021e-06, 'rewards/chosen': 0.10428228229284286, 'rewards/rejected': 0.13066445291042328, 'rewards/accuracies': 0.46875, 'rewards/margins': -0.026382161304354668, 'logps/chosen': -196.6727294921875, 'logps/rejected': -210.25723266601562, 'logits/chosen': 2.280280828475952, 'logits/rejected': 2.193903923034668, 'epoch': 0.09}
{'loss': 0.6109, 'grad_norm': 10.742033004760742, 'learning_rate': 7.867564446258926e-06, 'rewards/chosen': 0.20935745537281036, 'rewards/rejected': 0.05157356336712837, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.1577838957309723, 'logps/chosen': -162.13821411132812, 'logps/rejected': -211.10617065429688, 'logits/chosen': 2.271103858947754, 'logits/rejected': 2.341295003890991, 'epoch': 0.1}
{'loss': 0.6595, 'grad_norm': 7.396220684051514, 'learning_rate': 7.859572812921355e-06, 'rewards/chosen': 0.20766803622245789, 'rewards/rejected': 0.12960071861743927, 'rewards/accuracies': 0.625, 'rewards/margins': 0.07806730270385742, 'logps/chosen': -164.5893096923828, 'logps/rejected': -174.45907592773438, 'logits/chosen': 2.2872612476348877, 'logits/rejected': 2.3473572731018066, 'epoch': 0.11}
{'loss': 0.7674, 'grad_norm': 29.9666690826416, 'learning_rate': 7.850826280675306e-06, 'rewards/chosen': 0.1266828179359436, 'rewards/rejected': 0.1159205511212349, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.010762257501482964, 'logps/chosen': -170.0478973388672, 'logps/rejected': -192.76698303222656, 'logits/chosen': 2.2734220027923584, 'logits/rejected': 2.2855801582336426, 'epoch': 0.12}
{'loss': 0.693, 'grad_norm': 9.313959121704102, 'learning_rate': 7.841326539618345e-06, 'rewards/chosen': 0.14894838631153107, 'rewards/rejected': 0.13343258202075958, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.015515805222094059, 'logps/chosen': -172.8162384033203, 'logps/rejected': -183.93243408203125, 'logits/chosen': 2.2750473022460938, 'logits/rejected': 2.331914186477661, 'epoch': 0.12}
{'loss': 0.6991, 'grad_norm': 13.037579536437988, 'learning_rate': 7.831075425391014e-06, 'rewards/chosen': 0.131249338388443, 'rewards/rejected': 0.09267748892307281, 'rewards/accuracies': 0.5, 'rewards/margins': 0.038571834564208984, 'logps/chosen': -185.80812072753906, 'logps/rejected': -209.6407012939453, 'logits/chosen': 2.277078151702881, 'logits/rejected': 2.276829481124878, 'epoch': 0.13}
{'loss': 0.65, 'grad_norm': 10.043185234069824, 'learning_rate': 7.820074918822134e-06, 'rewards/chosen': 0.2352762222290039, 'rewards/rejected': 0.10810146480798721, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.1271747648715973, 'logps/chosen': -170.431396484375, 'logps/rejected': -185.12025451660156, 'logits/chosen': 2.2283730506896973, 'logits/rejected': 2.2341630458831787, 'epoch': 0.14}
{'loss': 0.6727, 'grad_norm': 12.167905807495117, 'learning_rate': 7.808327145546049e-06, 'rewards/chosen': 0.2563512325286865, 'rewards/rejected': 0.14001679420471191, 'rewards/accuracies': 0.625, 'rewards/margins': 0.1163344457745552, 'logps/chosen': -171.8790740966797, 'logps/rejected': -195.69117736816406, 'logits/chosen': 2.2347772121429443, 'logits/rejected': 2.327880382537842, 'epoch': 0.15}
{'loss': 0.6654, 'grad_norm': 9.671217918395996, 'learning_rate': 7.79583437559189e-06, 'rewards/chosen': 0.24233514070510864, 'rewards/rejected': 0.12161292880773544, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.120722196996212, 'logps/chosen': -175.3605194091797, 'logps/rejected': -189.86068725585938, 'logits/chosen': 2.251462697982788, 'logits/rejected': 2.334810733795166, 'epoch': 0.16}
{'loss': 0.6639, 'grad_norm': 10.070990562438965, 'learning_rate': 7.78259902294493e-06, 'rewards/chosen': 0.22647154331207275, 'rewards/rejected': 0.1250668466091156, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.10140466690063477, 'logps/chosen': -163.98538208007812, 'logps/rejected': -189.37232971191406, 'logits/chosen': 2.244180202484131, 'logits/rejected': 2.340229034423828, 'epoch': 0.17}
{'loss': 0.6692, 'grad_norm': 8.658162117004395, 'learning_rate': 7.768623645080133e-06, 'rewards/chosen': 0.25072938203811646, 'rewards/rejected': 0.14967697858810425, 'rewards/accuracies': 0.53125, 'rewards/margins': 0.10105238109827042, 'logps/chosen': -180.61495971679688, 'logps/rejected': -183.4034881591797, 'logits/chosen': 2.3029284477233887, 'logits/rejected': 2.3506267070770264, 'epoch': 0.18}
{'loss': 0.6341, 'grad_norm': 8.291794776916504, 'learning_rate': 7.753910942467973e-06, 'rewards/chosen': 0.305518239736557, 'rewards/rejected': 0.09573917835950851, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.2097790688276291, 'logps/chosen': -165.3838653564453, 'logps/rejected': -182.70631408691406, 'logits/chosen': 2.2680187225341797, 'logits/rejected': 2.3172056674957275, 'epoch': 0.19}
{'loss': 0.6801, 'grad_norm': 15.925171852111816, 'learning_rate': 7.738463758052613e-06, 'rewards/chosen': 0.21706143021583557, 'rewards/rejected': 0.1614285409450531, 'rewards/accuracies': 0.46875, 'rewards/margins': 0.055632881820201874, 'logps/chosen': -164.7936248779297, 'logps/rejected': -199.46481323242188, 'logits/chosen': 2.187762498855591, 'logits/rejected': 2.2699503898620605, 'epoch': 0.2}
{'loss': 0.673, 'grad_norm': 7.85774040222168, 'learning_rate': 7.722285076702568e-06, 'rewards/chosen': 0.3116236627101898, 'rewards/rejected': 0.16598401963710785, 'rewards/accuracies': 0.625, 'rewards/margins': 0.14563967287540436, 'logps/chosen': -151.09735107421875, 'logps/rejected': -156.5361785888672, 'logits/chosen': 2.3480947017669678, 'logits/rejected': 2.322044849395752, 'epoch': 0.2}
{'loss': 0.6712, 'grad_norm': 8.121272087097168, 'learning_rate': 7.70537802463394e-06, 'rewards/chosen': 0.2807539403438568, 'rewards/rejected': 0.1639750450849533, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.11677885055541992, 'logps/chosen': -168.12530517578125, 'logps/rejected': -185.36587524414062, 'logits/chosen': 2.2512364387512207, 'logits/rejected': 2.2155487537384033, 'epoch': 0.21}
