Finetuning score threshold: -120.55861000000002
Learning rate before schedule: 1e-05
Learning rate after schedule: 7.071067811865476e-06
Finetuning with 4444 chats
Extracting prompt in train dataset: 100%|██████████| 4444/4444 [00:00<00:00, 5353.80 examples/s]
Applying chat template to train dataset: 100%|██████████| 4444/4444 [00:01<00:00, 3276.45 examples/s]
Tokenizing train dataset: 100%|██████████| 4444/4444 [00:17<00:00, 254.18 examples/s]
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'eos_token_id': 128009, 'pad_token_id': 128009}.
                                                  
{'loss': 0.6931, 'grad_norm': 10.390817642211914, 'learning_rate': 7.071067811865476e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -186.13809204101562, 'logps/rejected': -203.62066650390625, 'logits/chosen': 2.261909008026123, 'logits/rejected': 2.3283088207244873, 'epoch': 0.01}
{'loss': 0.6196, 'grad_norm': 11.685951232910156, 'learning_rate': 7.070842060418543e-06, 'rewards/chosen': 0.02336425706744194, 'rewards/rejected': -0.10490312427282333, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.12826737761497498, 'logps/chosen': -179.45985412597656, 'logps/rejected': -185.045166015625, 'logits/chosen': 2.261136054992676, 'logits/rejected': 2.2928812503814697, 'epoch': 0.01}
{'loss': 0.7416, 'grad_norm': 15.398734092712402, 'learning_rate': 7.070164834907175e-06, 'rewards/chosen': -0.04169730842113495, 'rewards/rejected': 0.013529397547245026, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.055226705968379974, 'logps/chosen': -162.73565673828125, 'logps/rejected': -165.0908966064453, 'logits/chosen': 2.3141794204711914, 'logits/rejected': 2.349191427230835, 'epoch': 0.02}
{'loss': 0.666, 'grad_norm': 10.543746948242188, 'learning_rate': 7.069036221815984e-06, 'rewards/chosen': 0.04410276189446449, 'rewards/rejected': 0.002166174352169037, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.041936591267585754, 'logps/chosen': -160.9083709716797, 'logps/rejected': -183.7394256591797, 'logits/chosen': 2.3211398124694824, 'logits/rejected': 2.4164600372314453, 'epoch': 0.03}
{'loss': 0.7787, 'grad_norm': 21.145652770996094, 'learning_rate': 7.067456365273716e-06, 'rewards/chosen': -0.024057818576693535, 'rewards/rejected': 0.030604742467403412, 'rewards/accuracies': 0.34375, 'rewards/margins': -0.05466257035732269, 'logps/chosen': -181.70372009277344, 'logps/rejected': -191.14682006835938, 'logits/chosen': 2.3311665058135986, 'logits/rejected': 2.3511109352111816, 'epoch': 0.04}
{'loss': 0.6546, 'grad_norm': 11.225045204162598, 'learning_rate': 7.065425467034854e-06, 'rewards/chosen': 0.05952730402350426, 'rewards/rejected': -0.00608033686876297, 'rewards/accuracies': 0.5, 'rewards/margins': 0.06560765206813812, 'logps/chosen': -172.16468811035156, 'logps/rejected': -189.2450714111328, 'logits/chosen': 2.32011079788208, 'logits/rejected': 2.329662322998047, 'epoch': 0.04}
{'loss': 0.6419, 'grad_norm': 10.14510726928711, 'learning_rate': 7.062943786453839e-06, 'rewards/chosen': 0.07960186153650284, 'rewards/rejected': -0.035350993275642395, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.11495286226272583, 'logps/chosen': -164.70664978027344, 'logps/rejected': -178.91244506835938, 'logits/chosen': 2.3265199661254883, 'logits/rejected': 2.3619191646575928, 'epoch': 0.05}
{'loss': 0.6753, 'grad_norm': 14.056538581848145, 'learning_rate': 7.060011640451963e-06, 'rewards/chosen': 0.022982124239206314, 'rewards/rejected': 0.0006390586495399475, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.022343065589666367, 'logps/chosen': -158.69869995117188, 'logps/rejected': -205.28228759765625, 'logits/chosen': 2.3470401763916016, 'logits/rejected': 2.2998058795928955, 'epoch': 0.06}
{'loss': 0.649, 'grad_norm': 10.501718521118164, 'learning_rate': 7.056629403476887e-06, 'rewards/chosen': 0.08604221791028976, 'rewards/rejected': -0.01682453230023384, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.1028667464852333, 'logps/chosen': -161.03793334960938, 'logps/rejected': -184.8396759033203, 'logits/chosen': 2.3277997970581055, 'logits/rejected': 2.3606948852539062, 'epoch': 0.06}
{'loss': 0.7199, 'grad_norm': 9.865394592285156, 'learning_rate': 7.052797507454826e-06, 'rewards/chosen': 0.05211929976940155, 'rewards/rejected': 0.09023628383874893, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.03811698406934738, 'logps/chosen': -145.4657745361328, 'logps/rejected': -170.5541229248047, 'logits/chosen': 2.3184173107147217, 'logits/rejected': 2.327108383178711, 'epoch': 0.07}
{'loss': 0.6749, 'grad_norm': 10.613760948181152, 'learning_rate': 7.048516441735394e-06, 'rewards/chosen': 0.06629076600074768, 'rewards/rejected': 0.030622679740190506, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.035668086260557175, 'logps/chosen': -160.51535034179688, 'logps/rejected': -192.2303924560547, 'logits/chosen': 2.2561912536621094, 'logits/rejected': 2.352917432785034, 'epoch': 0.08}
{'loss': 0.7181, 'grad_norm': 21.531953811645508, 'learning_rate': 7.043786753029102e-06, 'rewards/chosen': 0.06392870098352432, 'rewards/rejected': 0.016555503010749817, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.0473732054233551, 'logps/chosen': -157.62869262695312, 'logps/rejected': -184.98291015625, 'logits/chosen': 2.2771363258361816, 'logits/rejected': 2.3798112869262695, 'epoch': 0.09}
{'loss': 0.6901, 'grad_norm': 10.113475799560547, 'learning_rate': 7.038609045337554e-06, 'rewards/chosen': 0.12582044303417206, 'rewards/rejected': 0.13653938472270966, 'rewards/accuracies': 0.4375, 'rewards/margins': -0.010718924924731255, 'logps/chosen': -170.18063354492188, 'logps/rejected': -197.33653259277344, 'logits/chosen': 2.280846357345581, 'logits/rejected': 2.340606451034546, 'epoch': 0.09}
{'loss': 0.6758, 'grad_norm': 9.894829750061035, 'learning_rate': 7.0329839798763e-06, 'rewards/chosen': 0.1239771917462349, 'rewards/rejected': 0.0862664207816124, 'rewards/accuracies': 0.46875, 'rewards/margins': 0.0377107709646225, 'logps/chosen': -163.13186645507812, 'logps/rejected': -203.99778747558594, 'logits/chosen': 2.2799878120422363, 'logits/rejected': 2.411195755004883, 'epoch': 0.1}
