Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  2.56it/s]
Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  2.96it/s]
Finetuning score threshold: -10000.0
Learning rate before schedule: 1e-05
Learning rate after schedule: 1.5811388300841898e-05
Finetuning with 1088 chats
Extracting prompt in train dataset: 100%|██████████| 1088/1088 [00:00<00:00, 5070.44 examples/s]
Applying chat template to train dataset: 100%|██████████| 1088/1088 [00:00<00:00, 4003.61 examples/s]
Tokenizing train dataset: 100%|██████████| 1088/1088 [00:03<00:00, 299.30 examples/s]
                                               
{'loss': 0.6931, 'grad_norm': 13.626165390014648, 'learning_rate': 1.5811388300841898e-05, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -310.392333984375, 'logps/rejected': -271.2165222167969, 'logits/chosen': 26.703706741333008, 'logits/rejected': 26.26349639892578, 'epoch': 0.03}
{'loss': 0.8186, 'grad_norm': 61.14170837402344, 'learning_rate': 1.5802952725978664e-05, 'rewards/chosen': -0.1345762312412262, 'rewards/rejected': -0.35067886114120483, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.21610260009765625, 'logps/chosen': -325.5042724609375, 'logps/rejected': -320.69195556640625, 'logits/chosen': 27.041271209716797, 'logits/rejected': 26.159757614135742, 'epoch': 0.06}
{'loss': 0.5863, 'grad_norm': 17.153152465820312, 'learning_rate': 1.5777664003330826e-05, 'rewards/chosen': 0.06010055169463158, 'rewards/rejected': -0.2125558853149414, 'rewards/accuracies': 0.65625, 'rewards/margins': 0.27265647053718567, 'logps/chosen': -312.9030456542969, 'logps/rejected': -306.4719543457031, 'logits/chosen': 26.568326950073242, 'logits/rejected': 26.348217010498047, 'epoch': 0.09}
{'loss': 0.4624, 'grad_norm': 15.970931053161621, 'learning_rate': 1.573557610030695e-05, 'rewards/chosen': 0.27242106199264526, 'rewards/rejected': -0.3011770248413086, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.5735980868339539, 'logps/chosen': -314.76165771484375, 'logps/rejected': -293.1115417480469, 'logits/chosen': 26.755521774291992, 'logits/rejected': 25.93623924255371, 'epoch': 0.12}
{'loss': 0.4369, 'grad_norm': 12.333544731140137, 'learning_rate': 1.5676778834613122e-05, 'rewards/chosen': 0.5593883395195007, 'rewards/rejected': -0.37961119413375854, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.9389995336532593, 'logps/chosen': -342.1976013183594, 'logps/rejected': -312.66717529296875, 'logits/chosen': 27.023258209228516, 'logits/rejected': 26.282678604125977, 'epoch': 0.15}
{'loss': 0.3669, 'grad_norm': 12.218713760375977, 'learning_rate': 1.560139768257743e-05, 'rewards/chosen': 0.5159782767295837, 'rewards/rejected': -0.37191271781921387, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.8878909945487976, 'logps/chosen': -326.6910705566406, 'logps/rejected': -332.6444396972656, 'logits/chosen': 27.08458137512207, 'logits/rejected': 26.62079429626465, 'epoch': 0.18}
{'loss': 0.2117, 'grad_norm': 4.444846153259277, 'learning_rate': 1.550959351137717e-05, 'rewards/chosen': 0.758723258972168, 'rewards/rejected': -0.9539007544517517, 'rewards/accuracies': 0.84375, 'rewards/margins': 1.712623953819275, 'logps/chosen': -308.91668701171875, 'logps/rejected': -316.67706298828125, 'logits/chosen': 26.529062271118164, 'logits/rejected': 26.34162712097168, 'epoch': 0.21}
{'loss': 0.1608, 'grad_norm': 3.6905417442321777, 'learning_rate': 1.5401562235740187e-05, 'rewards/chosen': 0.6844531893730164, 'rewards/rejected': -1.6771997213363647, 'rewards/accuracies': 0.90625, 'rewards/margins': 2.3616528511047363, 'logps/chosen': -342.40753173828125, 'logps/rejected': -303.348388671875, 'logits/chosen': 26.815351486206055, 'logits/rejected': 25.98093605041504, 'epoch': 0.24}
{'loss': 0.1484, 'grad_norm': 8.408002853393555, 'learning_rate': 1.5277534399852945e-05, 'rewards/chosen': 0.5542827844619751, 'rewards/rejected': -2.399688482284546, 'rewards/accuracies': 0.90625, 'rewards/margins': 2.9539716243743896, 'logps/chosen': -324.5206298828125, 'logps/rejected': -312.4469299316406, 'logits/chosen': 26.577686309814453, 'logits/rejected': 26.166400909423828, 'epoch': 0.26}
{'loss': 0.2023, 'grad_norm': 2.492382049560547, 'learning_rate': 1.5137774685367648e-05, 'rewards/chosen': 0.9107729196548462, 'rewards/rejected': -1.931105613708496, 'rewards/accuracies': 0.84375, 'rewards/margins': 2.841878652572632, 'logps/chosen': -345.8133850097656, 'logps/rejected': -318.0251770019531, 'logits/chosen': 26.923303604125977, 'logits/rejected': 26.314212799072266, 'epoch': 0.29}
{'loss': 0.2471, 'grad_norm': 10.824222564697266, 'learning_rate': 1.4982581346558229e-05, 'rewards/chosen': 0.8609066605567932, 'rewards/rejected': -2.184931755065918, 'rewards/accuracies': 0.90625, 'rewards/margins': 3.0458383560180664, 'logps/chosen': -322.9563903808594, 'logps/rejected': -288.3271484375, 'logits/chosen': 26.440818786621094, 'logits/rejected': 26.217361450195312, 'epoch': 0.32}
