Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.00it/s]
Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.83it/s]
Finetuning score threshold: -604.7394299999999
Learning rate before schedule: 1e-05
Learning rate after schedule: 9.12870929175277e-06
Finetuning with 2559 chats
Extracting prompt in train dataset: 100%|██████████| 2559/2559 [00:00<00:00, 5322.33 examples/s]
Applying chat template to train dataset: 100%|██████████| 2559/2559 [00:00<00:00, 4233.71 examples/s]
Tokenizing train dataset: 100%|██████████| 2559/2559 [00:10<00:00, 246.48 examples/s]
                                                  
{'loss': 0.6931, 'grad_norm': 14.17176342010498, 'learning_rate': 9.12870929175277e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -284.1090087890625, 'logps/rejected': -268.5891418457031, 'logits/chosen': 26.461450576782227, 'logits/rejected': 26.376178741455078, 'epoch': 0.01}
{'loss': 0.9485, 'grad_norm': 79.18657684326172, 'learning_rate': 9.127829468951545e-06, 'rewards/chosen': -0.051440611481666565, 'rewards/rejected': -0.03642692416906357, 'rewards/accuracies': 0.5, 'rewards/margins': -0.015013694763183594, 'logps/chosen': -296.9095458984375, 'logps/rejected': -265.3788757324219, 'logits/chosen': 26.49840545654297, 'logits/rejected': 26.179004669189453, 'epoch': 0.03}
{'loss': 0.8573, 'grad_norm': 51.220542907714844, 'learning_rate': 9.12519033973631e-06, 'rewards/chosen': 0.08455753326416016, 'rewards/rejected': -0.03714369982481003, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.12170124053955078, 'logps/chosen': -314.21649169921875, 'logps/rejected': -269.37567138671875, 'logits/chosen': 26.380172729492188, 'logits/rejected': 25.97936248779297, 'epoch': 0.04}
{'loss': 0.5804, 'grad_norm': 21.95177459716797, 'learning_rate': 9.120792921541618e-06, 'rewards/chosen': 0.4151082932949066, 'rewards/rejected': -0.055205538868904114, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.4703138768672943, 'logps/chosen': -289.80694580078125, 'logps/rejected': -266.0226135253906, 'logits/chosen': 26.451740264892578, 'logits/rejected': 26.12090492248535, 'epoch': 0.05}
{'loss': 0.538, 'grad_norm': 16.662385940551758, 'learning_rate': 9.114638909655887e-06, 'rewards/chosen': 0.508288562297821, 'rewards/rejected': -0.017599863931536674, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.5258884429931641, 'logps/chosen': -304.08575439453125, 'logps/rejected': -253.7501220703125, 'logits/chosen': 26.858776092529297, 'logits/rejected': 26.196102142333984, 'epoch': 0.06}
{'loss': 0.4322, 'grad_norm': 13.30062484741211, 'learning_rate': 9.106730676567847e-06, 'rewards/chosen': 0.5414464473724365, 'rewards/rejected': -0.034253496676683426, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.575700044631958, 'logps/chosen': -284.41015625, 'logps/rejected': -286.8431091308594, 'logits/chosen': 26.186613082885742, 'logits/rejected': 26.179256439208984, 'epoch': 0.08}
{'loss': 0.4115, 'grad_norm': 19.256799697875977, 'learning_rate': 9.097071271051895e-06, 'rewards/chosen': 0.7341448068618774, 'rewards/rejected': -0.35679954290390015, 'rewards/accuracies': 0.875, 'rewards/margins': 1.0909442901611328, 'logps/chosen': -287.0416259765625, 'logps/rejected': -266.20611572265625, 'logits/chosen': 26.05903434753418, 'logits/rejected': 25.951496124267578, 'epoch': 0.09}
{'loss': 0.4344, 'grad_norm': 26.261375427246094, 'learning_rate': 9.085664416992733e-06, 'rewards/chosen': 0.6148959398269653, 'rewards/rejected': -0.4862329959869385, 'rewards/accuracies': 0.84375, 'rewards/margins': 1.1011290550231934, 'logps/chosen': -304.4981384277344, 'logps/rejected': -284.0347900390625, 'logits/chosen': 26.35712432861328, 'logits/rejected': 26.16986846923828, 'epoch': 0.1}
{'loss': 0.3339, 'grad_norm': 15.74828815460205, 'learning_rate': 9.072514511949739e-06, 'rewards/chosen': 0.7500649690628052, 'rewards/rejected': -0.2587326169013977, 'rewards/accuracies': 0.875, 'rewards/margins': 1.0087976455688477, 'logps/chosen': -283.766357421875, 'logps/rejected': -291.8880310058594, 'logits/chosen': 26.240673065185547, 'logits/rejected': 26.03858757019043, 'epoch': 0.11}
{'loss': 0.1464, 'grad_norm': 10.556833267211914, 'learning_rate': 9.057626625461626e-06, 'rewards/chosen': 0.5899263024330139, 'rewards/rejected': -1.0845046043395996, 'rewards/accuracies': 1.0, 'rewards/margins': 1.6744308471679688, 'logps/chosen': -302.630615234375, 'logps/rejected': -289.1374206542969, 'logits/chosen': 26.289960861206055, 'logits/rejected': 25.864757537841797, 'epoch': 0.13}
{'loss': 0.2168, 'grad_norm': 3.1915149688720703, 'learning_rate': 9.041006497092043e-06, 'rewards/chosen': 0.6977106332778931, 'rewards/rejected': -0.9463986754417419, 'rewards/accuracies': 0.90625, 'rewards/margins': 1.6441093683242798, 'logps/chosen': -296.3137512207031, 'logps/rejected': -283.6641540527344, 'logits/chosen': 26.542617797851562, 'logits/rejected': 26.49020004272461, 'epoch': 0.14}
{'loss': 0.1924, 'grad_norm': 7.045058727264404, 'learning_rate': 9.02266053421685e-06, 'rewards/chosen': 0.3211553692817688, 'rewards/rejected': -1.4206691980361938, 'rewards/accuracies': 0.875, 'rewards/margins': 1.741824746131897, 'logps/chosen': -289.56182861328125, 'logps/rejected': -277.1665954589844, 'logits/chosen': 26.635456085205078, 'logits/rejected': 26.00056266784668, 'epoch': 0.15}
